step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,10,10,38.97782570960252,33.649901425028055,22.767947439179714,22.767947439179714,0.9,0.9,50.60385997797945,25.138220948761244,25.138220948761244,50.90374025115967,22.931367900732315,22.931367900732315,nan,19.625851787222288,18.03637203443603,25.82213143622814,56.41784886420777,0.0,0.0,58.628803364657884,56.4178489199811,4630,36.770369078887256,21.858434285770624,31.279627971219853,nan,nan,nan,nan,25.138220948761244,32.03562750280826,32.03562750280826,370,25.138220948761244
200,1,500,10,10,32.48443392122616,44.420974848861455,13.37579086788858,13.37579086788858,0.9857142857142858,0.9857142857142858,44.18628266258966,15.277866520964672,15.277866520964672,59.29888954620361,15.127404951893533,15.127404951893533,nan,15.266741327014387,12.093991812939302,17.74674371341878,57.79676571675004,0.0,0.0,59.05011954652304,57.79676565763346,4790,46.47835281202045,12.5717667345026,42.518899136668786,nan,nan,nan,nan,15.277866520964672,25.588564164173647,25.588564164173647,210,15.277866520964672
300,1,500,10,10,28.220323408148584,47.55935234933993,10.161299639541296,10.161299639541296,1.0,1.0,38.657326598454574,11.113617209367904,11.113617209367904,55.761834716796876,11.033201634003785,11.033201634003785,nan,10.882239580081933,10.038699685758129,11.575878437234651,57.72065198888123,0.0,0.0,58.247257838643556,57.72065203112693,4910,48.328366429750396,9.918891408893158,46.60703482175903,nan,nan,nan,nan,11.113617209367904,19.204344164602723,19.204344164602723,90,11.113617209367904
400,1,500,10,10,31.228576583189515,47.73392278135167,11.064801672878238,11.064801672878238,0.9833333333333333,0.9833333333333333,42.88513229951617,12.360466271787308,12.360466271787308,57.40639605712891,12.179205006252278,12.179205006252278,nan,11.310911091032986,10.344696563130041,15.510613536670224,58.79872445422991,0.0,0.0,59.51726900852974,58.79872432959822,4880,48.96675155784233,10.55051745068741,46.43825805781091,nan,nan,nan,nan,12.360466271787308,23.96867714294751,23.96867714294751,120,12.360466271787308
500,1,500,10,10,31.20605051262141,38.964150482799184,19.345248403911572,19.345248403911572,0.9,0.9,39.70767419279333,20.176934761272523,20.176934761272523,53.62134702911377,16.53659382443862,16.53659382443862,nan,11.068192232065428,10.03299646069247,23.69074286501072,58.30939888671076,0.0,0.0,59.20422437661629,58.30939871509245,4850,39.94453104075207,19.259693335864224,38.13246395381992,nan,nan,nan,nan,20.176934761272523,21.93241225424937,21.93241225424937,150,20.176934761272523
600,1,500,10,10,30.392127791941522,36.93245473132727,19.626077312768963,19.626077312768963,0.9,0.9,38.25897001701408,21.42950083629259,21.42950083629259,49.297680207824705,18.24589622172274,18.24589622172274,nan,13.306235955683324,12.277362353995237,23.300555457786647,56.55853204409623,0.0,0.0,58.64846566926643,56.55853205824904,4650,39.06239723579499,19.58606843347144,35.12903122195645,nan,nan,nan,nan,21.42950083629259,20.15008665628156,20.15008665628156,350,21.42950083629259
700,1,500,10,10,33.324688652269366,44.338729107357494,13.19868911592558,13.19868911592558,1.0,1.0,45.47668096236289,15.150865549478803,15.150865549478803,54.26114399871826,14.627000730474288,14.627000730474288,nan,12.101778560422787,11.004528662837654,18.956576263480013,57.537418223283076,0.0,0.0,58.72388154934235,57.53741820461137,4800,46.35694028689423,12.366941262448123,42.38655265513257,nan,nan,nan,nan,15.150865549478803,26.163814561591614,26.163814561591614,200,15.150865549478803
800,1,500,10,10,24.38882947526612,44.17077930440734,11.24766661920289,11.24766661920289,1.0,1.0,32.6463063355819,13.288977243600433,13.288977243600433,52.88663219909668,13.179673690559857,13.179673690559857,nan,12.991578243154791,11.452291191994403,14.632993739736103,55.41844592361023,0.0,0.0,57.03853281838707,55.41844593106218,4720,45.909800231494515,11.128732586892555,42.129468687461745,nan,nan,nan,nan,13.288977243600433,13.090919691594998,13.090919691594998,280,13.288977243600433
900,1,500,10,10,31.047811985809798,39.55482779120281,19.495372264807433,19.495372264807433,0.9,0.9,39.355014682705054,20.004266976045958,20.004266976045958,53.93298347015381,15.319334035541843,15.319334035541843,nan,9.845184548763218,9.1629176496217,19.480803483600788,59.05020005601024,0.0,0.0,59.588935880592835,59.05020013812434,4910,40.118032523623015,19.47090335696982,39.045933162078384,nan,nan,nan,nan,20.004266976045958,20.786683408371672,20.786683408371672,90,20.004266976045958
1000,1,500,10,10,27.89413362758148,37.16718039383488,19.517979742307244,19.517979742307244,0.9,0.9,34.13087937294222,21.25075513349847,21.25075513349847,49.58369040374756,17.365101668340277,17.365101668340277,nan,12.628987876506972,11.966476981131478,21.417543110456517,56.68516013614212,0.0,0.0,59.03423207767461,56.685160258701636,4610,39.254230689999964,19.780001387674645,35.43440512520317,nan,nan,nan,nan,21.25075513349847,16.10082797184898,16.10082797184898,390,21.25075513349847
