step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,policy,100,400,2,18,83.0,55.5,83.0,55.5,6.45,0,15,-1,nan,385,152,152,0.3948051948051948,0.07662930316564402,0.5,0.5,0.061536409126861494,0.9210526315789473,0.0004935158697248604,nan,0.0,nan,0.4887445887445887,0.3026315789473684,0.6192019020092304,-18.644736842105264,385,152,152,0.3948051948051948,0.07662930316564402,0.5,0.5,0.061536409126861494,0.9210526315789473,0.0004935158697248604,nan,0.0,nan,0.4887445887445887,0.3026315789473684,0.6192019020092304,-18.644736842105264
50,policy,100,400,2,18,176.5,129.88888888888889,176.5,129.88888888888889,14.15,1,34,-1,nan,861,326,326,0.3786295005807201,0.12870553072525412,0.6319018404907976,0.6319018404907976,0.1800392414022939,0.9355828220858896,0.0025381536852973467,nan,0.0,nan,0.5155052264808363,0.40797546012269936,0.7914089696195654,-15.052147239263803,861,326,326,0.3786295005807201,0.12870553072525412,0.6319018404907976,0.6319018404907976,0.1800392414022939,0.9355828220858896,0.0025381536852973467,nan,0.0,nan,0.5155052264808363,0.40797546012269936,0.7914089696195654,-15.052147239263803
75,policy,100,400,2,18,267.0,128.22222222222223,267.0,128.22222222222223,13.55,0,39,-1,nan,1269,472,472,0.37194641449960597,0.13898471510952165,0.6694915254237288,0.6694915254237288,0.12475321485969247,0.9364406779661016,0.0030507938551120003,nan,0.0,nan,0.5115670381627828,0.4194915254237288,0.8200128118697217,-3.108050847457627,1269,472,472,0.37194641449960597,0.13898471510952165,0.6694915254237288,0.6694915254237288,0.12475321485969247,0.9364406779661016,0.0030507938551120003,nan,0.0,nan,0.5115670381627828,0.4194915254237288,0.8200128118697217,-3.108050847457627
100,policy,100,400,2,18,354.0,169.88888888888889,354.0,169.88888888888889,16.65,0,39,100,22.983204312332774,1716,622,622,0.36247086247086246,0.1543813319647372,0.7122186495176849,0.7122186495176849,0.09584116342760397,0.932475884244373,0.0036863398694944633,nan,0.0,nan,0.5126526251526251,0.5016077170418006,0.9784553758843306,64.92604501607717,1716,622,622,0.36247086247086246,0.1543813319647372,0.7122186495176849,0.7122186495176849,0.09584116342760397,0.932475884244373,0.0036863398694944633,nan,0.0,nan,0.5126526251526251,0.5016077170418006,0.9784553758843306,64.92604501607717
125,policy,100,400,2,18,389.0,95.22222222222223,389.0,95.22222222222223,11.55,0,43,100,22.983204312332774,1687,602,602,0.35684647302904565,0.18880372970612694,0.7906976744186046,0.7906976744186046,0.03808837590762585,0.9352159468438538,0.0044006091720035535,nan,0.0,nan,0.5175642871256386,0.5880398671096345,1.1361677799977106,125.8172757475083,2072,754,754,0.3638996138996139,0.16619031745923912,0.7320954907161804,0.7320954907161804,0.07673171169200765,0.9323607427055703,0.003674628997593662,nan,0.0,nan,0.5122092756021327,0.5305039787798409,1.03571724302767,96.6949602122016
150,policy,100,400,2,18,400.0,110.88888888888889,480.0,110.88888888888889,14.7,0,52,100,22.983204312332774,1650,566,566,0.343030303030303,0.20282697818303955,0.8321554770318021,0.8321554770318021,0.023977937901310004,0.9275618374558304,0.004877843587690717,nan,0.0,nan,0.5126825396825396,0.6325088339222615,1.2337241566953305,183.6095406360424,2511,892,892,0.355236957387495,0.17573774962783992,0.7589686098654709,0.7589686098654709,0.08841468946845879,0.9304932735426009,0.004075584326057626,nan,0.0,nan,0.5136504143672602,0.5504484304932735,1.0716401955429997,111.00448430493273
175,policy,100,400,2,18,400.0,136.27777777777777,572.0,137.05555555555554,17.8,0,65,100,22.983204312332774,1702,588,588,0.345475910693302,0.2128084795967913,0.8452380952380952,0.8452380952380952,0.07005540999018438,0.923469387755102,0.004565218612774592,nan,0.0,nan,0.5191525376307985,0.6241496598639455,1.2022471520842628,171.16836734693877,2971,1060,1060,0.35678222820599126,0.1799360108817052,0.7669811320754717,0.7669811320754717,0.1297732229382673,0.9292452830188679,0.003918364012480472,nan,0.0,nan,0.5159125514897982,0.5330188679245284,1.0331573953479758,93.56603773584905
200,policy,100,400,2,18,400.0,153.11111111111111,628.0,153.11111111111111,17.55,0,76,200,17.392805122509813,1679,580,580,0.34544371649791544,0.21721589618048,0.8413793103448276,0.8413793103448276,0.07660024826796619,0.9275862068965517,0.0038253647041758994,nan,0.0,nan,0.5217674919878612,0.5775862068965517,1.1069800548440245,117.18103448275862,3395,1202,1202,0.3540500736377025,0.18470083882424704,0.7745424292845258,0.7745424292845258,0.13889207909758633,0.930116472545757,0.0037550947140983313,nan,0.0,nan,0.5171603899291676,0.538269550748752,1.0408174354236133,90.14059900166389
225,policy,100,400,2,18,400.0,178.77777777777777,704.0,178.77777777777777,21.45,1,86,200,17.392805122509813,1744,590,590,0.338302752293578,0.22799409801541765,0.8457627118644068,0.8457627118644068,0.121892387153048,0.9305084745762712,0.003775392139819861,nan,0.0,nan,0.5230955111402359,0.5983050847457627,1.143777899071598,145.13050847457626,3816,1344,1344,0.3522012578616352,0.19332144136410914,0.7819940476190477,0.7819940476190477,0.15914491801143663,0.9315476190476191,0.0037206800772693668,nan,0.0,nan,0.5171845362883098,0.5602678571428571,1.0833035750909032,117.95758928571429
250,policy,100,400,2,18,400.0,100.38888888888889,794.5,106.16666666666667,16.35,0,96,200,17.392805122509813,1724,600,600,0.3480278422273782,0.23394201678969048,0.8366666666666667,0.8366666666666667,0.12932285436693908,0.9316666666666666,0.004190410002294047,nan,0.0,nan,0.5216578278643244,0.57,1.0926702707282074,188.21166666666667,4235,1492,1492,0.35230224321133413,0.19914429138193537,0.7902144772117963,0.7902144772117963,0.16038494015126442,0.9309651474530831,0.004122328001578663,nan,0.0,nan,0.5169101028841289,0.5583109919571045,1.0800930158686726,142.0529490616622
