step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,2,562500.0,19.095183526311757,18.745808637354926,2,4,2,2,4,0,4,-105.0,70.5,-47.5,5.0,992168,0.992168,nan,0.992168,nan,2,288,578320,4,413296,4,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,4,562500.0,44.27246105389635,34.88923534702496,4,8,4,4,8,0,8,-105.0,70.5,-47.5,5.0,1984336,2.976504,nan,1.984336,nan,4,576,1156640,8,826592,8,4,528,256,64,272,68,132,4,0,0,4
4,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,7,562500.0,46.07869554047247,31.89193904865071,9,18,7,5,18,0,12,-105.0,70.5,-47.5,5.0,3307588,6.284092,nan,3.307588,nan,5,1296,1445800,10,1859832,18,5,660,320,80,340,85,165,5,0,0,5
5,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,8,562500.0,45.14634215778595,31.07751927234083,11,22,8,5,22,0,13,-105.0,70.5,-47.5,5.0,3721172,10.005264,nan,3.721172,nan,5,1584,1445800,10,2273128,22,5,660,320,80,340,85,165,5,0,0,5
6,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,8,562500.0,45.61710122590085,31.05872534792823,13,26,8,5,26,0,13,-105.0,70.5,-47.5,5.0,4134756,14.14002,nan,4.134756,nan,5,1872,1445800,10,2686424,26,5,660,320,80,340,85,165,5,0,0,5
7,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,9,562500.0,43.051640092275754,24.076156225975744,14,28,9,5,28,0,14,-105.0,70.5,-47.5,5.0,4341548,18.481568,nan,4.341548,nan,5,2016,1445800,10,2893072,28,5,660,320,80,340,85,165,5,0,0,5
8,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,9,562500.0,35.17887181845417,20.720643786353456,14,28,9,6,28,0,15,-105.0,70.5,-47.5,5.0,4630840,23.112408,nan,4.63084,nan,6,2016,1734960,12,2893072,28,6,792,384,96,408,102,198,6,0,0,6
9,-47.5,57.5,30,15,0,0.0,0.0,0,0.0,57.5,9,562500.0,44.012360226553874,24.780295048311125,15,30,9,6,30,0,15,-105.0,70.5,-47.5,5.0,4837632,27.95004,nan,4.837632,nan,6,2160,1734960,12,3099720,30,6,792,384,96,408,102,198,6,0,0,6
10,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,12,562500.0,42.01994140709579,26.020816466170924,18,36,12,7,36,0,19,-105.0,70.5,-47.5,5.0,5747300,33.69734,nan,5.7473,nan,7,2592,2024120,14,3719664,36,7,924,448,112,476,119,231,7,0,0,7
11,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,11,482386.5171770416,24.710774880375443,7.438783999434946,26,52,11,9,52,0,20,-105.0,70.5,-47.5,5.0,7980220,41.67756,nan,7.98022,nan,9,3744,2602440,18,5372848,52,9,1188,576,144,612,153,297,9,0,0,9
12,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,11,562500.0,41.495894291375016,25.44226170302729,28,56,13,7,56,2,20,-105.0,70.5,-47.5,5.0,7815220,49.49278,nan,7.81522,nan,7,4032,2024120,14,5786144,56,7,924,448,112,476,119,231,7,0,0,7
13,-47.5,57.5,62,31,0,0.0,0.0,0,0.0,57.5,12,562500.0,44.63284076797276,28.430389032826046,31,62,12,7,62,0,19,-105.0,70.5,-47.5,5.0,8435596,57.928376,nan,8.435596,nan,7,4464,2024120,14,6406088,62,7,924,448,112,476,119,231,7,0,0,7
