step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,1,562500.0,19.095183526311757,18.745808637354926,2,4,1,2,4,0,3,-105.0,70.5,-47.5,192878,0,32,2,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.072752815052425,61.00752912120477,4,8,0,2,8,0,2,-105.0,70.5,-47.5,192878,2,32,4,2,2,5.0,578920,1.157504,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
4,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,1,562500.0,50.08301552324302,38.914226312006505,9,18,1,4,18,0,5,-105.0,70.5,-47.5,192878,3,32,9,3,5,5.0,1157672,2.315176,nan,1.157672,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,504,3,4
5,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,0,562500.0,61.64823341369629,60.73423767089844,11,22,0,2,22,0,2,-105.0,70.5,-47.5,192878,6,32,11,4,8,5.0,579592,2.894768,nan,0.579592,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,1008,6,2
6,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,13,26,0,0,26,0,0,-105.0,70.5,-47.5,192878,8,32,13,4,9,5.0,1344,2.896112,nan,0.001344,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,8,0
7,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,14,28,0,0,28,0,0,-105.0,70.5,-47.5,192878,5,32,14,3,8,5.0,840,2.896952,nan,0.00084,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,5,0
8,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,0,562500.0,58.80067443847656,58.80067443847656,14,28,0,1,28,0,1,-105.0,70.5,-47.5,192878,5,32,14,3,5,5.0,290132,3.187084,nan,0.290132,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,840,5,1
9,-47.5,57.5,30,15,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.04114532470703,57.91754913330078,15,30,0,2,30,0,2,-105.0,70.5,-47.5,192878,3,32,15,2,4,5.0,579088,3.766172,nan,0.579088,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,504,3,2
10,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,0,562500.0,39.241399900092055,24.18294913839826,18,36,0,3,36,0,3,-105.0,70.5,-47.5,192878,11,32,18,6,10,5.0,869724,4.635896,nan,0.869724,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1848,11,3
11,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.517953872680664,60.51795196533203,26,52,0,1,52,0,1,-105.0,70.5,-47.5,192878,12,32,26,6,17,5.0,291308,4.927204,nan,0.291308,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,2016,12,1
12,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,28,56,0,0,56,0,0,-105.0,70.5,-47.5,192878,11,32,28,5,19,5.0,1848,4.929052,nan,0.001848,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,11,0
13,-47.5,57.5,62,31,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,31,62,0,0,62,0,0,-105.0,70.5,-47.5,192878,13,32,31,4,17,5.0,2184,4.931236,nan,0.002184,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,13,0
14,-47.5,57.5,54,27,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,27,54,0,0,54,0,0,-105.0,70.5,-47.5,192878,18,32,27,4,14,5.0,3024,4.93426,nan,0.003024,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,18,0
15,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,22,44,0,0,44,0,0,-105.0,70.5,-47.5,192878,16,32,22,5,13,5.0,2688,4.936948,nan,0.002688,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688,16,0
