step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,115,115,108,5.417848,5.417848,0,5403160,0,0
2,2445,4890,81,81,81,3.81672,9.234568,0,3805704,0,0
3,2469,4938,79,79,79,3.72248,12.957048,0,3711736,0,0
4,2401,4802,89,89,89,4.19368,17.150728,0,4181576,0,0
5,2489,4978,64,64,63,3.015544,20.166272,0,3006976,0,0
6,2714,5428,92,92,92,4.33504,24.501312,0,4322528,0,0
7,2852,5704,104,104,103,4.900344,29.401656,0,4886336,0,0
8,2837,5674,76,76,76,3.58112,32.982776,0,3570784,0,0
9,2809,5618,93,93,93,4.38216,37.364936,0,4369512,0,0
10,2728,5456,87,87,87,4.09944,41.464376,0,4087608,0,0
11,2658,5316,88,88,88,4.14656,45.610936,0,4134592,0,0
12,2645,5290,94,94,94,4.42928,50.040216,0,4416496,0,0
13,2570,5140,76,76,76,3.58112,53.621336,0,3570784,0,0
14,2448,4896,87,87,87,4.09944,57.720776,0,4087608,0,0
15,2515,5030,86,86,86,4.05232,61.773096,0,4040624,0,0
16,2476,4952,85,85,85,4.0052,65.778296,0,3993640,0,0
17,2669,5338,80,80,80,3.7696,69.547896,0,3758720,0,0
18,2887,5774,97,97,97,4.57064,74.118536,0,4557448,0,0
19,2923,5846,97,97,97,4.57064,78.689176,0,4557448,0,0
20,2937,5874,86,86,86,4.05232,82.741496,0,4040624,0,0
21,2834,5668,92,92,91,4.334904,87.0764,0,4322528,0,0
22,2758,5516,82,82,81,3.863704,90.940104,0,3852688,0,0
23,2819,5638,93,93,93,4.38216,95.322264,0,4369512,0,0
24,3034,6068,90,90,90,4.2408,99.563064,0,4228560,0,0
25,3114,6228,90,90,90,4.2408,103.803864,0,4228560,0,0
26,3155,6310,81,81,81,3.81672,107.620584,0,3805704,0,0
27,3435,6870,109,109,109,5.13608,112.756664,0,5121256,0,0
28,3277,6554,91,91,91,4.28792,117.044584,0,4275544,0,0
29,3469,6938,87,87,87,4.09944,121.144024,0,4087608,0,0
30,3363,6726,98,98,98,4.61776,125.761784,0,4604432,0,0
31,3345,6690,88,88,88,4.14656,129.908344,0,4134592,0,0
32,3188,6376,103,103,103,4.85336,134.761704,0,4839352,0,0
33,3061,6122,96,96,96,4.52352,139.285224,0,4510464,0,0
34,3182,6364,94,94,92,4.429008,143.714232,0,4416496,0,0
35,3241,6482,93,93,93,4.38216,148.096392,0,4369512,0,0
36,3437,6874,110,110,110,5.1832,153.279592,0,5168240,0,0
37,3581,7162,104,104,104,4.90048,158.180072,0,4886336,0,0
38,3496,6992,102,102,102,4.80624,162.986312,0,4792368,0,0
39,3434,6868,103,103,103,4.85336,167.839672,0,4839352,0,0
40,3331,6662,105,105,105,4.9476,172.787272,0,4933320,0,0
41,3788,7576,115,115,115,5.4188,178.206072,0,5403160,0,0
42,3805,7610,95,95,95,4.4764,182.682472,0,4463480,0,0
43,3852,7704,107,107,106,5.041704,187.724176,0,5027288,0,0
44,4061,8122,101,101,101,4.75912,192.483296,0,4745384,0,0
45,4226,8452,111,111,111,5.23032,197.713616,0,5215224,0,0
46,4392,8784,109,109,109,5.13608,202.849696,0,5121256,0,0
47,4462,8924,110,110,110,5.1832,208.032896,0,5168240,0,0
48,4511,9022,124,124,124,5.84288,213.875776,0,5826016,0,0
49,4231,8462,113,113,113,5.32456,219.200336,0,5309192,0,0
50,4357,8714,115,115,115,5.4188,224.619136,0,5403160,0,0
51,4481,8962,101,101,101,4.75912,229.378256,0,4745384,0,0
52,4400,8800,107,107,107,5.04184,234.420096,0,5027288,0,0
53,4341,8682,89,89,89,4.19368,238.613776,0,4181576,0,0
54,4185,8370,111,111,111,5.23032,243.844096,0,5215224,0,0
55,4303,8606,107,107,107,5.04184,248.885936,0,5027288,0,0
56,4436,8872,113,113,113,5.32456,254.210496,0,5309192,0,0
57,4746,9492,113,113,113,5.32456,259.535056,0,5309192,0,0
58,5132,10264,118,118,118,5.56016,265.095216,0,5544112,0,0
59,5384,10768,112,112,112,5.27744,270.372656,0,5262208,0,0
60,5477,10954,118,118,118,5.56016,275.932816,0,5544112,0,0
61,5747,11494,110,110,110,5.1832,281.116016,0,5168240,0,0
62,5591,11182,112,112,111,5.277304,286.39332,0,5262208,0,0
63,5443,10886,120,120,120,5.6544,292.04772,0,5638080,0,0
64,5218,10436,122,122,122,5.74864,297.79636,0,5732048,0,0
65,4486,8972,110,110,110,5.1832,302.97956,0,5168240,0,0
66,3998,7996,127,127,127,5.98424,308.9638,0,5966968,0,0
67,3965,7930,93,93,93,4.38216,313.34596,0,4369512,0,0
68,3623,7246,110,110,110,5.1832,318.52916,0,5168240,0,0
69,3533,7066,90,90,90,4.2408,322.76996,0,4228560,0,0
70,3644,7288,103,103,103,4.85336,327.62332,0,4839352,0,0
71,3756,7512,95,95,94,4.476264,332.099584,0,4463480,0,0
72,3767,7534,91,91,90,4.287784,336.387368,0,4275544,0,0
73,3793,7586,96,96,96,4.52352,340.910888,0,4510464,0,0
74,3984,7968,93,93,93,4.38216,345.293048,0,4369512,0,0
75,4216,8432,103,103,103,4.85336,350.146408,0,4839352,0,0
76,4420,8840,111,111,111,5.23032,355.376728,0,5215224,0,0
77,4540,9080,98,98,97,4.617624,359.994352,0,4604432,0,0
78,4516,9032,103,103,103,4.85336,364.847712,0,4839352,0,0
79,4599,9198,112,112,112,5.27744,370.125152,0,5262208,0,0
80,4543,9086,100,100,100,4.712,374.837152,0,4698400,0,0
81,3909,7818,100,100,100,4.712,379.549152,0,4698400,0,0
82,3417,6834,105,105,105,4.9476,384.496752,0,4933320,0,0
83,3362,6724,95,95,95,4.4764,388.973152,0,4463480,0,0
84,3403,6806,95,95,95,4.4764,393.449552,0,4463480,0,0
85,3231,6462,100,100,100,4.712,398.161552,0,4698400,0,0
86,3030,6060,88,88,88,4.14656,402.308112,0,4134592,0,0
87,2905,5810,97,97,97,4.57064,406.878752,0,4557448,0,0
88,2952,5904,71,71,70,3.345384,410.224136,0,3335864,0,0
89,2884,5768,85,85,85,4.0052,414.229336,0,3993640,0,0
90,2992,5984,87,87,87,4.09944,418.328776,0,4087608,0,0
91,2934,5868,83,83,83,3.91096,422.239736,0,3899672,0,0
92,2988,5976,87,87,87,4.09944,426.339176,0,4087608,0,0
93,3038,6076,79,79,79,3.72248,430.061656,0,3711736,0,0
94,3032,6064,89,89,89,4.19368,434.255336,0,4181576,0,0
95,3066,6132,84,84,84,3.95808,438.213416,0,3946656,0,0
96,3214,6428,97,97,97,4.57064,442.784056,0,4557448,0,0
97,3281,6562,88,88,88,4.14656,446.930616,0,4134592,0,0
98,2993,5986,96,96,96,4.52352,451.454136,0,4510464,0,0
99,2973,5946,85,85,85,4.0052,455.459336,0,3993640,0,0
100,2891,5782,96,96,96,4.52352,459.982856,0,4510464,0,0
101,2729,5458,74,74,74,3.48688,463.469736,0,3476816,0,0
102,2707,5414,93,93,93,4.38216,467.851896,0,4369512,0,0
103,2686,5372,94,94,94,4.42928,472.281176,0,4416496,0,0
