step,examples,mean_target_gain,mean_online_prediction,mean_absolute_error,root_mean_squared_error,target_prediction_pearson,cumulative_examples
1,101,0.002764749,0.067175906,0.064411157,0.064915441,-0.229113004,101
2,29,0.118391054,0.054039443,0.109699259,0.209761469,0.176396453,130
3,32,0.213206965,0.023056403,0.220044379,0.367734183,0.123368325,162
4,35,0.166238294,-0.012235382,0.182670259,0.262630731,0.367701545,197
5,41,0.293035034,-0.008170868,0.327462616,0.513690617,0.551103286,238
6,39,0.566525148,0.018051497,0.578213906,0.930950928,0.176825554,277
7,34,0.549335268,0.024476580,0.540113690,0.863312027,-0.043885228,311
8,33,0.699565436,0.054929481,0.660485570,1.058550707,0.165794135,344
9,43,1.114953910,0.071578572,1.074415403,1.852228177,0.181519564,387
10,30,0.805575317,0.108307338,0.723893957,1.206879730,-0.184679520,417
11,44,1.275236110,0.128267177,1.174382174,2.626410919,0.085504163,461
12,41,0.713261381,0.150092930,0.595188386,0.868069415,0.097549237,502
13,47,1.111044209,0.173761476,0.994842327,2.477144631,0.140848536,549
14,36,1.475006518,0.182026922,1.316910073,2.435992342,-0.477865498,585
15,36,1.142712815,0.196915415,0.994065170,1.487873292,-0.299643440,621
16,42,1.164287136,0.211509954,1.020217481,2.111801945,-0.222820419,663
17,32,1.322268408,0.246479394,1.172095307,1.617368248,-0.030509340,695
18,42,1.407657363,0.262979471,1.236851507,2.219386257,-0.417641937,737
19,42,1.104562705,0.280548636,1.002063385,1.873219963,-0.301906942,779
20,50,1.643727911,0.282565656,1.449079784,2.411017218,-0.107823348,829
21,31,1.020569761,0.297201667,0.908223029,1.526386029,-0.327934069,860
22,26,0.994840971,0.348843730,0.918253558,1.945422026,-0.194694194,886
23,45,0.988737703,0.359601127,0.774279912,1.323387392,-0.129897963,931
24,36,0.876700551,0.363862615,0.684195983,1.046145778,-0.231343778,967
25,39,1.345367584,0.383847434,1.136559392,2.848018375,-0.317364710,1006
26,11,0.823183180,0.446496592,0.623206691,0.734230254,-0.280732444,1017
27,32,0.700644034,0.490300832,0.493527587,0.647010386,-0.427455695,1049
28,42,0.975979764,0.429447306,0.845492606,1.152139768,-0.220529773,1091
29,43,0.957703319,0.420544628,0.797601795,1.441331177,-0.185281661,1134
30,44,1.131509312,0.433355028,0.982340315,1.289352810,-0.361947596,1178
31,32,0.559707261,0.465359223,0.424036623,0.530718223,-0.161505374,1210
32,40,0.845473972,0.449645433,0.775669722,1.115655037,-0.419344307,1250
33,48,0.830018474,0.423122393,0.754866768,1.221566238,-0.439187820,1298
34,39,1.095693804,0.385052566,0.916915465,1.502871228,-0.305057647,1337
35,47,1.158494104,0.435361940,0.934227140,1.421281113,-0.188030415,1384
36,33,1.106235655,0.437546044,0.956588283,1.319868209,-0.414489759,1417
