method_order,method,method_label,density_score,replicates,zones_per_replicate,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
0,iso,ISO,1,5,3,28.46863467803858,0.4657574690281473,38.145237292023594,0.6486385866407425,2.169167238334623,0.5071245246848848,0.0,0.0
0,iso,ISO,2,5,3,27.641479833273827,0.8278134337509581,37.44117601657015,1.1610189922285028,2.3501006699161877,0.8994035400420856,0.0,0.0
0,iso,ISO,3,5,3,28.006320400955882,0.7225833878349385,33.06142689425029,0.9153278144895436,4.236098702245137,1.1594096431569905,0.0,0.0
1,central,Central,1,5,3,12.922172867734025,0.4624243689437258,10.678832819934078,1.1747671198492964,16.37721655041055,0.5150790089111594,0.0,0.0
1,central,Central,2,5,3,12.309338045277233,0.25692287899068256,7.886712568875386,0.8628884438753331,16.377787250557624,0.8111715224528881,0.0,0.0
1,central,Central,3,5,3,8.608535813431567,0.11006713997727316,6.920745189543576,0.26526856671127175,20.19797169361764,0.28598483263678715,0.0,0.0
2,full,Full,1,5,3,17.09584579698827,1.5190061900460474,15.949406393442441,3.114137036766974,18.289458725073732,1.7685965160560926,98.7351745344,55.48745398259048
2,full,Full,2,5,3,14.695894172163582,0.3747216791541585,9.740942000471469,0.7482262201534391,19.37972129353184,0.6712425557613032,369.58601184426664,175.55301251652241
2,full,Full,3,5,3,10.55306947047425,0.19097298862909348,8.619561717505936,0.19758260809852515,22.75178570007639,0.5031524167968843,1111.0641753706666,513.8602765877166
3,top5,Top 5,1,5,3,17.16044279765964,1.4524671401267928,16.018433195571944,3.0260966172184625,18.32326436737454,1.825195744646177,27.913229980799997,8.997671990767726
3,top5,Top 5,2,5,3,14.421996730756533,0.32860952990126446,9.758383551389716,0.8774615654856185,18.85438782075835,0.5913949376003957,60.9515174592,13.468309274499935
3,top5,Top 5,3,5,3,10.417528701587816,0.2162057068711109,8.484771223461333,0.18548222589188526,22.53757257275655,0.4109926846721387,100.80337687786667,24.545000385165423
4,every1,Top 1,1,5,3,17.227398286005673,1.501340183323633,16.307147885219496,2.9233146282145532,18.128506955834688,1.7799853271853339,5.685452802133333,1.753322832550167
4,every1,Top 1,2,5,3,14.382884723199584,0.16553607668941311,9.854638873876327,0.7578021070651167,18.7195585040185,0.5293733293133802,12.356893550933334,2.6750889026116482
4,every1,Top 1,3,5,3,10.433981324323168,0.11210629061504794,8.615484915615458,0.2178706323810363,22.029057553753006,0.60064582281367,20.154950942933333,4.918630967768123
5,every5,Every 5,1,5,3,19.048123415268208,1.097448963606111,21.008433125053166,2.0193044394239865,16.13528281901805,1.5493682071486994,1.0911140053333335,0.34691086783993874
5,every5,Every 5,2,5,3,16.328918705669416,0.3562129125066276,15.46167234034522,0.5342579211298056,17.2078773568254,0.576642681696821,2.4298004896,0.5260525863156812
5,every5,Every 5,3,5,3,14.687976813708866,0.6565333974121924,14.76018369359345,0.47835741986148284,16.662714442485488,0.6317714179770554,3.9477858208,0.9826321347303374
6,every10,Every 10,1,5,3,20.64938280811635,0.8078749443100688,24.388777154952145,1.6703043571429232,14.290655613698297,1.5061482218075049,0.5211710208,0.18181917045322699
6,every10,Every 10,2,5,3,17.554642558359184,0.31233965489366433,18.047555920965703,0.6588460479541028,16.68738735400651,0.9938051303754851,1.1989349354666667,0.2661438411929134
6,every10,Every 10,3,5,3,16.41295523535214,0.40834135750089223,17.165425042318894,0.44117268917462593,14.8791835172296,0.8450366218001302,1.9458135082666665,0.4957062114547229
7,every20,Every 20,1,5,3,22.596682069170633,1.108189013502986,28.262827810764282,1.9938028283000313,12.065152849239713,1.7473734695245369,0.23697609386666665,0.0921644728683506
7,every20,Every 20,2,5,3,19.243451787127174,0.7275621508964613,22.348443292203868,0.877806963102732,14.364501401325091,1.2030806613437515,0.5470770965333334,0.11677771941578319
7,every20,Every 20,3,5,3,18.988488536457577,0.5118218067417739,20.409166136333578,0.6223326609862615,14.619186384068788,0.6569717991798922,0.9217336437333333,0.23349964287864974
8,every40,Every 40,1,5,3,25.807010872435473,1.46572095225662,33.925593966655775,2.267227128059112,6.60412315077969,2.769157684632111,0.0885210496,0.03701904539924796
8,every40,Every 40,2,5,3,22.363937816932015,1.692527035263165,29.070574252323475,2.8461539892526435,8.608222169563495,2.8138985553069733,0.2164122016,0.07783017215308252
8,every40,Every 40,3,5,3,21.04380703198857,0.4199411568100779,23.43198137531464,0.7715015728051683,13.651762886066923,0.7218662391987699,0.4548189877333333,0.11470021015259185
9,every80,Every 80,1,5,3,27.491962280068,0.9478372814651858,36.68306323954648,1.3786899596674271,3.731348322714335,1.9611043165596602,0.035714951466666665,0.01439878547982595
9,every80,Every 80,2,5,3,26.184012238791677,0.8670188420835301,35.342129980895635,1.2893432366568167,3.3338213310440543,1.5762977148304766,0.06278426773333333,0.027909664777877003
9,every80,Every 80,3,5,3,23.52480002088998,1.1468464449636084,27.160786013290693,1.8710005994166505,11.102175944222658,1.5551177385472585,0.20842911466666666,0.06590898503464286
10,ungated,Ungated Greedy,1,5,3,30.937028439969218,3.2181185345631023,14.430610468160003,2.342324016296628,43.58092710180072,4.160647308936295,5.704660991999999,2.7876172182833905
10,ungated,Ungated Greedy,2,5,3,24.338794478217984,1.423307735419528,10.584234161307604,0.809091347107527,34.662544977213955,1.9182472004793347,20.51930544,10.354978297781575
10,ungated,Ungated Greedy,3,5,3,14.335544768735991,1.5794438755193687,8.037395579007157,0.3440742454072175,31.075536739832273,2.505711181652672,61.724765088000005,25.120569114132028
