method_order,method,method_label,zone,building_score,vehicle_score,replicates,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
0,iso,ISO,factor_b1_v1,1,1,5,33.51640902514533,0.4354667643850281,39.143825583590605,0.5773016177936258,3.1638439042643993,1.937400793100975,0.0,0.0
0,iso,ISO,factor_b1_v2,1,2,5,31.43796947101929,1.1744863878402103,37.80178525398869,1.5273935393960534,3.4396342559857755,2.0997311390790574,0.0,0.0
0,iso,ISO,factor_b1_v3,1,3,5,30.31021999979426,1.2474609407678754,30.60467795558368,1.2648825378101543,5.5390827535631875,2.7092361023984837,0.0,0.0
0,iso,ISO,factor_b2_v1,2,1,5,25.620745332195476,1.181636538108398,36.82207919500259,1.7051192543791602,0.8341151842943806,0.28116945931828424,0.0,0.0
0,iso,ISO,factor_b2_v2,2,2,5,26.167566569982966,0.47451552328332863,37.21783648851795,0.6888965966512256,2.0328052118902735,0.26071210506645615,0.0,0.0
0,iso,ISO,factor_b2_v3,2,3,5,27.42178200971137,1.4535437694609097,33.080896538459704,1.8890423017010676,5.081606321105586,1.8048314234943696,0.0,0.0
0,iso,ISO,factor_b3_v1,3,1,5,26.268749676774945,0.6728491452865302,38.469807097477606,1.0577620057693653,2.5095426264450893,0.8132783693073231,0.0,0.0
0,iso,ISO,factor_b3_v2,3,2,5,25.318903458819214,1.128253208212124,37.303906307203796,1.680166648815677,1.5778625418725136,0.6377256910823366,0.0,0.0
0,iso,ISO,factor_b3_v3,3,3,5,26.28695919336202,0.9675453057440901,35.49870618870749,1.3260833100566656,2.087607032066638,0.36278706316775994,0.0,0.0
1,central,Central,factor_b1_v1,1,1,5,15.271912438075564,0.8588862513676181,8.427401060345932,1.8761772070963736,25.862498585468614,0.48310055896763854,0.0,0.0
1,central,Central,factor_b1_v2,1,2,5,13.622408465382563,1.014680669161634,9.230065571897331,1.9167468652220396,20.10419219458418,0.47053526283028085,0.0,0.0
1,central,Central,factor_b1_v3,1,3,5,7.198565234090919,0.09269188572599958,4.86542841613026,0.07291264767018317,37.91860299903023,0.7563784470729303,0.0,0.0
1,central,Central,factor_b2_v1,2,1,5,12.039131494169569,0.42321290024803426,11.43880879809458,1.8255587131938371,12.498601476496251,0.8674289813403206,0.0,0.0
1,central,Central,factor_b2_v2,2,2,5,12.659163940513693,0.6514296329137204,7.344091712352165,0.49273028764708576,16.219658245488624,1.0562303171961904,0.0,0.0
1,central,Central,factor_b2_v3,2,3,5,9.890918948923694,0.30528998726697015,7.495963097279436,0.9210783904185401,13.58732474016216,0.7914721825586064,0.0,0.0
1,central,Central,factor_b3_v1,3,1,5,11.45547467095695,0.6642158922185648,12.170288601361719,1.0495428462478151,10.770549589266789,0.977067292737496,0.0,0.0
1,central,Central,factor_b3_v2,3,2,5,10.646441729935438,1.1522839994981304,7.085980422376662,2.233212442535579,12.809511311600065,1.958202170546137,0.0,0.0
1,central,Central,factor_b3_v3,3,3,5,8.736123257280088,0.5436174531230387,8.400844055221032,1.016464747553874,9.087987341660527,0.7238333106636405,0.0,0.0
2,full,Full,factor_b1_v1,1,1,5,18.46726673874044,3.1413344396985865,11.422443713916818,6.147902063218773,28.516967398751206,3.6546807930698693,88.82775712000002,73.14218045560364
2,full,Full,factor_b1_v2,1,2,5,14.947203158529737,0.5841810257090406,9.754389732512488,1.630595545307467,22.430697264950904,0.8000096122911411,371.88048597119996,262.9112627326059
2,full,Full,factor_b1_v3,1,3,5,7.527397613244593,0.059689792753146766,5.212492735598187,0.08600671271794844,38.84144918529553,0.831685354242281,707.6244748864,83.42734066538884
2,full,Full,factor_b2_v1,2,1,5,15.089022404830425,0.7680483491997556,14.058776935414608,1.223116082849344,15.929605746225395,1.651783731628952,134.4047131008,103.0890762699197
2,full,Full,factor_b2_v2,2,2,5,16.14507762691317,1.0101508349179937,9.66564441384602,0.4468884774651118,20.56086545450784,1.4132613484027876,390.4474469504,151.85420858951068
2,full,Full,factor_b2_v3,2,3,5,13.123950028406139,0.3223305656077918,9.805913073918822,0.596743506404608,18.224679847237482,1.055844733811497,1584.2532467327999,1088.1350267102882
2,full,Full,factor_b3_v1,3,1,5,17.731248247393943,2.603645595459484,22.366998530995893,5.411951838232186,10.421803030244602,2.9889590775680834,72.97305338240001,55.23074119868764
2,full,Full,factor_b3_v2,3,2,5,12.995401731047838,0.9087700815755999,9.802791855055903,1.9914793632016958,15.147601161136777,0.40980301716765366,346.43010261119997,203.55685600686556
2,full,Full,factor_b3_v3,3,3,5,11.00786076977202,0.6928834725431877,10.840279343000805,0.9546983835096381,11.189228067696158,0.6199534554480394,1041.3148044928,516.881521567629
3,top5,Top 5,factor_b1_v1,1,1,5,18.36691197101835,3.011932760924235,11.385019684781856,6.154346630625085,28.318184559082045,3.7389710518412915,29.2350547104,14.283716239195192
3,top5,Top 5,factor_b1_v2,1,2,5,14.881800437192563,0.5016937343884278,10.165562009288113,1.8481775497964503,21.85377247691701,1.0726898674691603,49.961265296,16.67495715520808
3,top5,Top 5,factor_b1_v3,1,3,5,7.478081092217525,0.11647824928605104,5.180474742509641,0.11822488515379903,38.57648097219289,0.5864475100794196,65.18214554240001,3.8665413551901673
3,top5,Top 5,factor_b2_v1,2,1,5,15.272716729154595,0.22715793879668592,14.026222130702626,1.1362826991527755,16.308060867237703,1.0882727689852638,37.8095529024,14.509363041677101
3,top5,Top 5,factor_b2_v2,2,2,5,15.525343930693802,0.683694695150587,9.462642447308578,0.5848038645658518,19.691819883025936,0.9467552870748402,66.17412413119999,14.193907170825783
3,top5,Top 5,factor_b2_v3,2,3,5,12.866620046551239,0.4378184023574731,9.628277214805408,0.6982420019400921,17.84373076044017,1.1761336545485,129.9312927328,47.57211745437443
3,top5,Top 5,factor_b3_v1,3,1,5,17.84169969280598,2.574712602078973,22.64405777123135,5.228955906409079,10.343547675803874,3.1123970929044202,16.6950823296,8.250369259753285
3,top5,Top 5,factor_b3_v2,3,2,5,12.858845824383234,1.058296595350073,9.646946197572456,2.0137443143943767,15.01757110233211,0.6718980839594048,66.7191629504,19.12549027258339
3,top5,Top 5,factor_b3_v3,3,3,5,10.907884965994686,0.6577517622281327,10.645561713068952,0.9023511990600734,11.192505985636583,0.900434615071488,107.29669235840001,26.80447110324856
4,every1,Top 1,factor_b1_v1,1,1,5,18.243288560313953,3.1095090933352187,11.48777439961089,6.065145347313559,27.930107132869985,3.599350401400253,5.9671645024,2.7793374149369106
4,every1,Top 1,factor_b1_v2,1,2,5,14.716564291162324,0.48255443325268305,10.173550053961899,1.627847353164052,21.50670241466342,0.9355806677902584,10.008041715200001,3.313671209521543
4,every1,Top 1,factor_b1_v3,1,3,5,7.373003988247545,0.19157722479520953,5.250123743702233,0.06773109791495076,37.057594918421124,1.7861101714882035,12.9690183808,0.7567610702821833
4,every1,Top 1,factor_b2_v1,2,1,5,15.520243338536014,0.4593086013694154,14.361414346437211,1.2348245461432719,16.485756397170956,1.1105482244206586,7.750749052800001,2.8065370536765353
