step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,2,562500.0,56.68925174560451,46.003438057146624,2,4,2,2,4,0,4,-105.0,70.5,-47.5,5.0,992036,0.992036,nan,0.992036,nan,2,288,578320,4,413296,4,2,132,64,16,68,17,33,2,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,53.29521084676749,42.26070326597768,2,4,0,2,4,0,2,-105.0,70.5,-47.5,5.0,992024,1.98406,nan,0.992024,nan,2,144,578320,4,413296,4,2,264,128,32,136,34,66,2,0,0,2
4,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,562500.0,38.3638716464002,35.69502397096393,4,8,0,2,8,0,2,-105.0,70.5,-47.5,5.0,1405392,3.389452,nan,1.405392,nan,2,216,578320,4,826592,8,2,264,128,32,136,34,66,2,0,0,2
5,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,4,8,0,0,8,0,0,-105.0,70.5,-47.5,5.0,826592,4.216044,nan,0.826592,nan,0,0,0,0,826592,8,0,0,0,0,0,0,0,0,0,0,0
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.14377975463867,62.14377975463867,5,10,1,1,10,0,2,-105.0,70.5,-47.5,5.0,1322748,5.538792,nan,1.322748,nan,1,216,289160,2,1033240,10,1,132,64,16,68,17,33,1,0,0,1
7,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,40.63171779309014,37.42948651916086,5,10,1,2,10,0,3,-105.0,70.5,-47.5,5.0,1612256,7.151048,nan,1.612256,nan,2,432,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
8,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.53581619262695,62.53581619262695,4,8,1,1,8,0,2,-105.0,70.5,-47.5,5.0,1116100,8.267148,nan,1.1161,nan,1,216,289160,2,826592,8,1,132,64,16,68,17,33,1,0,0,1
9,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,39.82965886017154,35.63558141201917,4,8,1,2,8,0,3,-105.0,70.5,-47.5,5.0,1405392,9.67254,nan,1.405392,nan,2,216,578320,4,826592,8,2,264,128,32,136,34,66,2,0,0,2
10,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.54165267944336,59.54165267944336,6,12,0,1,12,0,1,-105.0,70.5,-47.5,5.0,1529324,11.201864,nan,1.529324,nan,1,144,289160,2,1239888,12,1,132,64,16,68,17,33,1,0,0,1
11,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,57.999080657958984,57.999080657958984,6,12,0,1,12,0,1,-105.0,70.5,-47.5,5.0,1529324,12.731188,nan,1.529324,nan,1,144,289160,2,1239888,12,1,132,64,16,68,17,33,1,0,0,1
12,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,3,562500.0,59.865861892700195,59.49174499511719,7,14,3,2,14,0,5,-105.0,70.5,-47.5,5.0,2025768,14.756956,nan,2.025768,nan,2,648,578320,4,1446536,14,2,264,128,32,136,34,66,2,0,0,2
13,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,2,562500.0,45.90688871366462,37.04190995346109,8,16,2,3,16,0,5,-105.0,70.5,-47.5,5.0,2521708,17.278664,nan,2.521708,nan,3,648,867480,6,1653184,16,3,396,192,48,204,51,99,3,0,0,3
14,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,70.76816177368164,67.5613899230957,6,12,1,2,12,0,3,-105.0,70.5,-47.5,5.0,1818904,19.097568,nan,1.818904,nan,2,432,578320,4,1239888,12,2,264,128,32,136,34,66,2,0,0,2
15,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,61.42340278625488,60.07902908325195,6,12,1,2,12,0,3,-105.0,70.5,-47.5,5.0,1818904,20.916472,nan,1.818904,nan,2,432,578320,4,1239888,12,2,264,128,32,136,34,66,2,0,0,2
16,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.394020080566406,57.68232345581055,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1611968,22.52844,nan,1.611968,nan,2,144,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
17,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.5613899230957,67.5613899230957,7,14,0,1,14,0,1,-105.0,70.5,-47.5,5.0,1735900,24.26434,nan,1.7359,nan,1,72,289160,2,1446536,14,1,132,64,16,68,17,33,1,0,0,1
18,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.4850959777832,63.4850959777832,5,10,0,1,10,0,1,-105.0,70.5,-47.5,5.0,1322748,25.587088,nan,1.322748,nan,1,216,289160,2,1033240,10,1,132,64,16,68,17,33,1,0,0,1
19,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.934022175977326,58.99165725708008,6,12,1,3,12,0,4,-105.0,70.5,-47.5,5.0,2108052,27.69514,nan,2.108052,nan,3,288,867480,6,1239888,12,3,396,192,48,204,51,99,3,0,0,3
20,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,41.38452386852376,34.56980288675959,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1612040,29.30718,nan,1.61204,nan,2,216,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
21,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,41.56029479620132,37.12173939651096,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1612040,30.91922,nan,1.61204,nan,2,216,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
22,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.5613899230957,67.5613899230957,5,10,0,1,10,0,1,-105.0,70.5,-47.5,5.0,1322676,32.241896,nan,1.322676,nan,1,144,289160,2,1033240,10,1,132,64,16,68,17,33,1,0,0,1
23,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.21068572998047,60.21068572998047,4,8,0,1,8,0,1,-105.0,70.5,-47.5,5.0,1115956,33.357852,nan,1.115956,nan,1,72,289160,2,826592,8,1,132,64,16,68,17,33,1,0,0,1
24,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,43.28110595441001,36.85955967322439,5,10,1,2,10,0,3,-105.0,70.5,-47.5,5.0,1612112,34.969964,nan,1.612112,nan,2,288,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
25,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.20915222167969,60.207618713378906,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1612040,36.582004,nan,1.61204,nan,2,216,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
26,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,50.80130607827727,44.197916201627734,6,12,1,3,12,0,4,-105.0,70.5,-47.5,5.0,2108052,38.690056,nan,2.108052,nan,3,288,867480,6,1239888,12,3,396,192,48,204,51,99,3,0,0,3
27,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,25.843580934181503,18.830872105806094,6,12,1,2,12,0,3,-105.0,70.5,-47.5,5.0,1818760,40.508816,nan,1.81876,nan,2,288,578320,4,1239888,12,2,264,128,32,136,34,66,2,0,0,2
28,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,48.506192861919466,39.857225154380586,6,12,0,3,12,0,3,-105.0,70.5,-47.5,5.0,2107980,42.616796,nan,2.10798,nan,3,216,867480,6,1239888,12,3,396,192,48,204,51,99,3,0,0,3
