step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,10,10,37.871789169022335,27.496057379700684,28.483596556959615,28.483596556959615,0.7666666666666667,0.7666666666666667,45.39849787473781,29.710795429515386,29.710795429515386,43.15948981781006,26.227177398638236,26.227177398638236,nan,21.3950273284579,15.271220397235918,52.78319507882814,55.9796539366603,0.0,0.0,57.73860428939874,55.979653801810066,4700,29.32168643324864,28.416917856150096,26.26885837229468,nan,nan,nan,nan,29.710795429515386,29.508565027126608,29.508565027126608,300,29.710795429515386
200,1,500,10,10,30.08505108304074,42.09819613899987,14.8140663052118,14.8140663052118,1.0,1.0,40.09410147258084,17.430807939939537,17.430807939939537,51.0463558807373,16.997005551269815,16.997005551269815,nan,14.79961507715961,14.2668686161912,23.634118777497886,56.91226244421167,0.0,0.0,59.07882686923406,56.91226250799819,4640,44.842126955113066,14.236699914120988,39.48145456805865,nan,nan,nan,nan,17.430807939939537,20.872016475826307,20.872016475826307,360,17.430807939939537
300,1,500,10,10,29.15476487297996,44.2356053935188,11.933066100809242,11.933066100809242,0.9939393939393939,0.9939393939393939,39.713376087505665,14.792986284090624,14.792986284090624,58.54129808502197,14.718916693091717,14.718916693091717,nan,14.2493692897399,13.208610622984535,17.42749547490826,56.168671494328045,0.0,0.0,58.11934550206235,56.16867162719162,4670,47.035646240090934,11.083699261971416,41.375685343101,nan,nan,nan,nan,14.792986284090624,20.470848087462585,20.470848087462585,330,14.792986284090624
400,1,500,10,10,34.44020494250168,44.750022110827416,12.69471085308805,12.69471085308805,1.0,1.0,47.28501206695827,14.702505233632001,14.702505233632001,60.74478549957276,14.585187179657884,14.585187179657884,nan,14.486473945627576,12.927504338553742,16.246466613922543,57.44473296391547,0.0,0.0,58.56830824991018,57.44473305246313,4810,46.8899921559416,11.67831609396858,42.742227818831125,nan,nan,nan,nan,14.702505233632001,28.076574506431044,28.076574506431044,190,14.702505233632001
500,1,500,10,10,28.459382574795715,44.87850625593401,11.194235328273333,11.194235328273333,0.9928571428571429,0.9928571428571429,38.754287808767714,12.519095734690831,12.519095734690831,53.00105369567871,12.43913779647841,12.43913779647841,nan,12.057166459071366,11.181150934592079,13.515649874081367,56.07274158420735,0.0,0.0,56.87463966372443,56.07274156883983,4860,46.0128677312831,10.861771932441329,43.553645834149,nan,nan,nan,nan,12.519095734690831,19.49010875727659,19.49010875727659,140,12.519095734690831
600,1,500,10,10,30.203592312046435,27.723732240483006,29.002692136314113,29.002692136314113,0.7833333333333333,0.7833333333333333,30.677873367199034,29.77997741438727,29.77997741438727,39.29804750213623,24.612417450196233,24.612417450196233,nan,13.900047077866514,11.671365278114235,55.3987439885099,56.72642437679712,0.0,0.0,58.50883921848957,56.72642427205649,4700,28.78709527956968,29.72174393891989,26.94644685766922,nan,nan,nan,nan,29.77997741438727,13.402121210483884,13.402121210483884,300,29.77997741438727
700,1,500,10,10,31.507807987985565,34.76198502783548,22.277482426860804,22.277482426860804,0.9,0.9,38.490508067812826,24.006327308888057,24.006327308888057,47.687248382568356,20.574235305459247,20.574235305459247,nan,14.610699752607024,13.339180616485802,27.421899802662175,57.03946745469628,0.0,0.0,59.27478237381544,57.03946737460744,4630,36.82562387962752,22.44915849418792,33.03314006571938,nan,nan,nan,nan,24.006327308888057,20.0050311555751,20.0050311555751,370,24.006327308888057
800,1,500,10,10,28.90253802915656,34.65258642476893,20.0876067561974,20.0876067561974,0.9,0.9,35.455582488067805,22.087136648065446,22.087136648065446,49.37418552093506,18.71223308358313,18.71223308358313,nan,14.095858606575137,13.303863974716814,23.06822509207919,54.74019318096632,0.0,0.0,57.32035976953876,54.740193308278826,4560,36.98283092541657,20.33752884412219,32.65305666021338,nan,nan,nan,nan,22.087136648065446,17.286027303204303,17.286027303204303,440,22.087136648065446
900,1,500,10,10,29.999412878232896,42.48281086991147,13.056668864144632,13.056668864144632,1.0,1.0,40.656803189263385,16.074809788170842,16.074809788170842,56.24149840545654,15.846774640414367,15.846774640414367,nan,14.678497459182658,13.438073152957989,19.695765097214622,55.5394797340561,0.0,0.0,57.71601170911632,55.53947960724826,4630,45.593557316260316,12.122454392856007,39.464669819077415,nan,nan,nan,nan,16.074809788170842,21.55987572847189,21.55987572847189,370,16.074809788170842
1000,1,500,10,10,31.492528254109292,47.307412381395984,10.313630829456029,10.313630829456029,1.0,1.0,43.515276324589124,12.15296648105417,12.15296648105417,57.74478892364502,11.920164036545353,11.920164036545353,nan,10.750372541414944,10.429717793939604,15.221877246003043,57.621043210852015,0.0,0.0,58.5657136372619,57.62104341122979,4840,49.0799665361424,9.485747101119502,45.46807693017562,nan,nan,nan,nan,12.15296648105417,24.540096990032517,24.540096990032517,160,12.15296648105417
