step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,64.57561492919922,64.57561492919922,2,4,0,1,4,0,1,-105.0,70.5,-47.5,5.0,702876,0.702876,nan,0.702876,nan,1,288,289160,2,413296,4,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,2,562500.0,47.24693294961105,34.885571848033806,4,8,2,3,8,0,5,-105.0,70.5,-47.5,5.0,1694972,2.397848,nan,1.694972,nan,3,504,867480,6,826592,8,3,396,192,48,204,51,99,3,0,0,3
4,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,2,562500.0,46.30940689293965,20.07859708722816,9,18,2,5,18,0,7,-105.0,70.5,-47.5,5.0,3307588,5.705436,nan,3.307588,nan,5,1296,1445800,10,1859832,18,5,660,320,80,340,85,165,5,0,0,5
5,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,3,562500.0,45.130266539320345,30.765281709191008,11,22,3,5,22,0,8,-105.0,70.5,-47.5,5.0,3721028,9.426464,nan,3.721028,nan,5,1440,1445800,10,2273128,22,5,660,320,80,340,85,165,5,0,0,5
6,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,5,562500.0,45.230246317181454,30.75893499933484,13,26,5,5,26,0,10,-105.0,70.5,-47.5,5.0,4134612,13.561076,nan,4.134612,nan,5,1728,1445800,10,2686424,26,5,660,320,80,340,85,165,5,0,0,5
7,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,7,562500.0,38.171055603351924,25.011058430023606,14,28,7,5,28,0,12,-105.0,70.5,-47.5,5.0,4341188,17.902264,nan,4.341188,nan,5,1656,1445800,10,2893072,28,5,660,320,80,340,85,165,5,0,0,5
8,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,6,562500.0,28.425907892719437,20.720643786353456,14,28,6,5,28,0,11,-105.0,70.5,-47.5,5.0,4341044,22.243308,nan,4.341044,nan,5,1512,1445800,10,2893072,28,5,660,320,80,340,85,165,5,0,0,5
9,-47.5,57.5,30,15,0,0.0,0.0,0,0.0,57.5,7,562500.0,52.4828783421101,35.84948954736318,15,30,7,5,30,0,12,-105.0,70.5,-47.5,5.0,4547908,26.791216,nan,4.547908,nan,5,1728,1445800,10,3099720,30,5,660,320,80,340,85,165,5,0,0,5
10,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,9,562500.0,41.16523910747663,21.47028318142905,18,36,9,7,36,0,16,-105.0,70.5,-47.5,5.0,5746868,32.538084,nan,5.746868,nan,7,2160,2024120,14,3719664,36,7,924,448,112,476,119,231,7,0,0,7
11,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,8,507692.03487814823,30.911075742469016,7.803714434692317,26,52,8,8,52,0,16,-105.0,70.5,-47.5,5.0,7690064,40.228148,nan,7.690064,nan,8,2880,2313280,16,5372848,52,8,1056,512,128,544,136,264,8,0,0,8
