step,training_loss,selection_reconstruction_rmse,matched_relative_rmse,stress_relative_rmse
1,1.0020486116409302,0.9995374108280392,0.9995646750096397,0.9995101459027387
100,0.5740153193473816,0.6157707102174749,0.618963454600912,0.6125613250866982
200,0.46577513217926025,0.4995894023578518,0.5019881885665958,0.497179042635728
300,0.3445338010787964,0.4749084883594785,0.4775024598426113,0.47230027045940304
400,0.392289400100708,0.44428310198226634,0.44626614282667393,0.4422911701363395
500,0.21189460158348083,0.41795601858416565,0.42022982843256046,0.41566977065574007
600,0.3577955663204193,0.3973114029244134,0.3996875092309243,0.3949210006473586
700,0.32171863317489624,0.3806842410201826,0.3830308263998365,0.3783231009992428
800,0.24931186437606812,0.36833759519226333,0.37059217208240497,0.3660691328906119
900,0.3353081941604614,0.358288003297229,0.36051924694602644,0.35604277719805005
1000,0.16307540237903595,0.3495310330767253,0.351735011638021,0.34731306879437596
1100,0.16257578134536743,0.34146089344796854,0.3437184433493478,0.33918831820991574
1200,0.1773393601179123,0.33415633782715826,0.33646038630942965,0.33183629196431363
1300,0.1981617957353592,0.32882504180793615,0.33115288911705526,0.32648059707953425
1400,0.25243502855300903,0.32492331430526045,0.32716610528105794,0.3226649344342423
1500,0.11928187310695648,0.32151622083786346,0.3237861843800163,0.31923011657478956
1600,0.1820654273033142,0.318684808022572,0.3209582689575654,0.31639501152282756
1700,0.1508103758096695,0.3156759491501577,0.317958668742297,0.31337660205467177
1800,0.22705470025539398,0.31301340360673446,0.31526788666198213,0.31074256437545295
1900,0.5277035236358643,0.3105488063475519,0.31270732068560053,0.308375183562834
2000,0.13800552487373352,0.3080046224017767,0.31011788563964593,0.3058767592480957
2100,0.296406090259552,0.30665021935079856,0.30876663564498663,0.30451909425890167
2200,0.12111349403858185,0.305758014146707,0.30782115937272064,0.3036808526600086
2300,0.2078462839126587,0.3050934185642549,0.30716190620670025,0.3030108108267981
2400,0.19839291274547577,0.30438323430930475,0.30645083702419734,0.3023014904765689
2500,0.2276667058467865,0.3039823923769729,0.3060349832316459,0.30191584719729775
2600,0.2831665277481079,0.30352583504379155,0.30558280067322646,0.3014548341141157
2700,0.15054050087928772,0.30307467700672364,0.3051183831589102,0.30101709576692176
2800,0.17279917001724243,0.3027079303444463,0.30476270703951924,0.30063911020487755
2900,0.19672980904579163,0.30239449175535993,0.30440475033858183,0.30037077963621983
3000,0.23248642683029175,0.3021370633641059,0.30411534971856286,0.30014573823748975
