step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,154,154,150,7.255936,7.255936,0,7235536,0,0
2,2445,4890,157,157,157,7.39784,14.653776,0,7376488,0,0
3,2469,4938,155,155,153,7.303328,21.957104,0,7282520,0,0
4,2401,4802,155,155,155,7.3036,29.260704,0,7282520,0,0
5,2489,4978,159,159,159,7.49208,36.752784,0,7470456,0,0
6,2714,5428,165,165,165,7.7748,44.527584,0,7752360,0,0
7,2852,5704,171,171,169,8.057248,52.584832,0,8034264,0,0
8,2837,5674,170,170,169,8.010264,60.595096,0,7987280,0,0
9,2809,5618,175,175,175,8.246,68.841096,0,8222200,0,0
10,2728,5456,171,171,171,8.05752,76.898616,0,8034264,0,0
11,2658,5316,170,170,170,8.0104,84.909016,0,7987280,0,0
12,2645,5290,164,164,164,7.72768,92.636696,0,7705376,0,0
13,2570,5140,161,161,161,7.58632,100.223016,0,7564424,0,0
14,2448,4896,155,155,155,7.3036,107.526616,0,7282520,0,0
15,2515,5030,163,163,163,7.68056,115.207176,0,7658392,0,0
16,2476,4952,169,169,169,7.96328,123.170456,0,7940296,0,0
17,2669,5338,173,173,173,8.15176,131.322216,0,8128232,0,0
18,2887,5774,179,179,179,8.43448,139.756696,0,8410136,0,0
19,2923,5846,175,175,175,8.246,148.002696,0,8222200,0,0
20,2937,5874,175,175,175,8.246,156.248696,0,8222200,0,0
21,2834,5668,173,173,172,8.151624,164.40032,0,8128232,0,0
22,2758,5516,167,167,167,7.86904,172.26936,0,7846328,0,0
23,2819,5638,170,170,170,8.0104,180.27976,0,7987280,0,0
24,3034,6068,171,171,171,8.05752,188.33728,0,8034264,0,0
25,3114,6228,174,174,173,8.198744,196.536024,0,8175216,0,0
26,3155,6310,174,174,174,8.19888,204.734904,0,8175216,0,0
27,3435,6870,178,178,178,8.38736,213.122264,0,8363152,0,0
28,3277,6554,178,178,178,8.38736,221.509624,0,8363152,0,0
29,3469,6938,176,176,176,8.29312,229.802744,0,8269184,0,0
30,3363,6726,173,173,173,8.15176,237.954504,0,8128232,0,0
31,3345,6690,176,176,176,8.29312,246.247624,0,8269184,0,0
32,3188,6376,188,188,188,8.85856,255.106184,0,8832992,0,0
33,3061,6122,189,189,188,8.905544,264.011728,0,8879976,0,0
34,3182,6364,187,187,186,8.811304,272.823032,0,8786008,0,0
35,3241,6482,190,190,190,8.9528,281.775832,0,8926960,0,0
36,3437,6874,194,194,193,9.141144,290.916976,0,9114896,0,0
37,3581,7162,204,204,204,9.61248,300.529456,0,9584736,0,0
38,3496,6992,202,202,202,9.51824,310.047696,0,9490768,0,0
39,3434,6868,202,202,202,9.51824,319.565936,0,9490768,0,0
40,3331,6662,196,196,196,9.23552,328.801456,0,9208864,0,0
41,3788,7576,204,204,204,9.61248,338.413936,0,9584736,0,0
42,3805,7610,202,202,202,9.51824,347.932176,0,9490768,0,0
43,3852,7704,203,203,202,9.565224,357.4974,0,9537752,0,0
44,4061,8122,203,203,203,9.56536,367.06276,0,9537752,0,0
45,4226,8452,209,209,209,9.84808,376.91084,0,9819656,0,0
46,4392,8784,215,215,215,10.1308,387.04164,0,10101560,0,0
47,4462,8924,217,217,217,10.22504,397.26668,0,10195528,0,0
48,4511,9022,218,218,218,10.27216,407.53884,0,10242512,0,0
49,4231,8462,218,218,218,10.27216,417.811,0,10242512,0,0
50,4357,8714,211,211,211,9.94232,427.75332,0,9913624,0,0
51,4481,8962,204,204,204,9.61248,437.3658,0,9584736,0,0
52,4400,8800,200,200,200,9.424,446.7898,0,9396800,0,0
