step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,20,20,39.16188318675116,35.627215933208774,20.79063208445082,20.79063208445082,0.95,0.95,51.83507134414027,23.47569707828609,23.47569707828609,53.30960466156006,21.961594453839446,21.961594453839446,nan,19.184500236147315,18.341032461336436,25.309230938970273,56.417848017659594,0.0,0.0,58.62880246526793,56.41784805450809,9260,39.124147425678665,19.504655039589267,32.942150976222,nan,nan,nan,nan,23.47569707828609,32.87378620487077,32.87378620487077,740,23.47569707828609
200,1,500,20,20,29.81415289553307,42.597970103561536,15.198795650082353,15.198795650082353,0.9428571428571428,0.9428571428571428,39.44696188850308,16.665763314388123,16.665763314388123,53.827677607727054,15.324307375016073,15.324307375016073,nan,13.740416323929267,12.389661448742816,16.391752777852748,57.79676575364389,0.0,0.0,59.050119591838154,57.79676570198674,9580,44.16037065092477,14.889748940913385,41.13100238759862,nan,nan,nan,nan,16.665763314388123,21.050031066959633,21.050031066959633,420,16.665763314388123
300,1,500,20,20,29.003953240012276,38.10665319743215,19.613999032648405,19.613999032648405,0.9,0.9,36.002492566929654,20.066323562637763,20.066323562637763,49.771237751770016,15.65850897869187,15.65850897869187,nan,11.292578035040401,10.438123569804082,17.283580364929946,57.72065223008055,0.0,0.0,58.24725810327702,57.720652293367884,9820,38.59327285687439,19.653985246402627,37.65432873073012,nan,nan,nan,nan,20.066323562637763,17.292977443303343,17.292977443303343,180,20.066323562637763
400,1,500,20,20,29.35456489867745,48.2489248614702,10.549799618438295,10.549799618438295,1.0,1.0,40.25055740633906,11.818527833225186,11.818527833225186,55.11318825988769,11.754601226385303,11.754601226385303,nan,11.355877106085888,10.567033846117472,13.50378501083852,58.79872447990849,0.0,0.0,59.517269033747034,58.79872435451107,9760,49.35490763196959,10.162361401777444,46.98019652128589,nan,nan,nan,nan,11.818527833225186,20.919736280472346,20.919736280472346,240,11.818527833225186
500,1,500,20,20,30.179718571634044,48.42947206946696,9.879926813366689,9.879926813366689,1.0,1.0,41.67022296183995,11.608568751112193,11.608568751112193,56.59878590621948,11.568089153683355,11.568089153683355,nan,11.669962428119899,10.22790082510213,12.715586939755864,58.30939888283365,0.0,0.0,59.20422437449067,58.309398712998956,9700,49.97257531072029,9.231649063770385,46.70082996188676,nan,nan,nan,nan,11.608568751112193,22.320625562624745,22.320625562624745,300,11.608568751112193
600,1,500,20,20,28.71711892249375,40.62226398850588,15.936267413372248,15.936267413372248,0.95,0.95,37.451500971205945,18.100905889756884,18.100905889756884,51.30590791091919,15.827960437279643,15.827960437279643,nan,13.751437652532903,12.55371683068533,17.172614794720015,56.55853140187813,0.0,0.0,58.64846496651764,56.558531380542654,9300,42.94079443836302,15.707670528154623,38.45762549078577,nan,nan,nan,nan,18.100905889756884,18.710146098238116,18.710146098238116,700,18.100905889756884
700,1,500,20,20,30.943631492280236,47.214117513283725,10.323301127216535,10.323301127216535,1.0,1.0,42.733297127417245,12.584597121357971,12.584597121357971,57.534043881988524,12.534800086880606,12.534800086880606,nan,12.483838443888457,11.282622635207014,13.836971970574943,57.537418640500256,0.0,0.0,58.72388198673899,57.537418633170795,9600,49.29615816388825,9.427723822850735,44.95282151181282,nan,nan,nan,nan,12.584597121357971,23.045524898387143,23.045524898387143,400,12.584597121357971
800,1,500,20,20,29.103638736722996,41.825391081483886,13.593054610048446,13.593054610048446,1.0,1.0,39.00575247040008,15.752163876889002,15.752163876889002,51.58071433639526,15.128030506233614,15.128030506233614,nan,13.721722203956187,12.708337507042744,17.919421177392497,55.418445691532334,0.0,0.0,57.03853256220533,55.41844568215688,9440,43.9009966572784,13.137535904926935,39.66628180526788,nan,nan,nan,nan,15.752163876889002,19.749138990237732,19.749138990237732,560,15.752163876889002
900,1,500,20,20,29.697077911185172,43.265864732268426,15.784334972385983,15.784334972385983,0.95,0.95,38.95219845167775,16.41438306371469,16.41438306371469,54.063485767364504,12.677792086122162,12.677792086122162,nan,9.806001925355034,9.291764241701106,13.14231902849852,59.05019970465441,0.0,0.0,59.588935524914575,59.05019978566171,9820,43.88673476492179,15.702200759992785,42.63581672194702,nan,nan,nan,nan,16.41438306371469,19.75430595346143,19.75430595346143,180,16.41438306371469
1000,1,500,20,20,30.046735010016363,36.003882898244,20.681277363336346,20.681277363336346,0.9,0.9,37.02715276377546,22.530919021045356,22.530919021045356,50.282792514038086,18.900716138223878,18.900716138223878,nan,14.638764224150506,13.267434493243856,23.41098557484448,56.68516026158035,0.0,0.0,59.03423222120874,56.6851603965243,9220,38.18710945253101,20.84712276867773,34.15424137547895,nan,nan,nan,nan,22.530919021045356,18.609242567912776,18.609242567912776,780,22.530919021045356
