zone	replicate	stage	configuration	job_id	dependency	output
factor_b1_v1_300m	3	simulation	every40	2205363	afterok:2205354	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	3	simulation	every80	2205364	afterok:2205354	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	mobility	-	2205365	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep4/mobility/factor_b1_v1_300m_rep4_all_vehicles_1s_full1800.json
factor_b1_v1_300m	4	raytrace	-	2205366	afterok:2205365	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep4/rssi/shards
factor_b1_v1_300m	4	merge	-	2205367	afterok:2205366	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep4/rssi/factor_b1_v1_300m_rep4_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v1_300m	4	simulation	iso	2205368	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	central	2205369	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/central_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	full	2205370	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/full_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	top5	2205371	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every1	2205372	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every5	2205373	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every10	2205374	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every10_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every20	2205375	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every40	2205376	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	4	simulation	every80	2205377	afterok:2205367	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	mobility	-	2205378	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep5/mobility/factor_b1_v1_300m_rep5_all_vehicles_1s_full1800.json
factor_b1_v1_300m	5	raytrace	-	2205379	afterok:2205378	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep5/rssi/shards
factor_b1_v1_300m	5	merge	-	2205380	afterok:2205379	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v1_300m/rep5/rssi/factor_b1_v1_300m_rep5_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v1_300m	5	simulation	iso	2205381	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/iso_paper_final_full1800_eval50_tail10x25
