step,mode,receiver_idx,provider_idx,target_gain,online_prediction,base_loss,weighted_loss,propensity,importance_weight,receiver_policy_version,provider_policy_version
4,t2_b0,0,8,0.03349279284535958,0.08906887471675873,0.001544350408948958,0.001544350408948958,0.5,1.0,0,0
5,t2_b0,1,0,0.05609785779867888,0.088870570063591,0.0005370253347791731,0.0005370253347791731,0.5,1.0,0,0
6,t2_b0,8,0,0.01574824750052402,0.05826231464743614,0.0009037229465320706,0.0009037229465320706,1.0,1.0,0,0
6,t2_b0,5,6,0.0,0.0889778882265091,0.003958532121032476,0.003958532121032476,1.0,1.0,0,0
7,t2_b0,6,5,0.8436140252099706,-0.05554233491420746,0.4042411148548126,0.4042411148548126,0.5,1.0,0,0
8,t2_b0,7,6,0.9380502162360156,0.3070289194583893,0.19909392297267914,0.19909392297267914,1.0,1.0,0,0
9,t2_b0,0,8,0.5610050694811838,0.03060227632522583,0.14066354930400848,0.14066354930400848,1.0,1.0,0,0
9,t2_b0,7,6,0.0,0.615046501159668,0.18914109468460083,0.18914109468460083,1.0,1.0,0,0
10,t2_b0,9,0,0.4688230926789019,0.0919739231467247,0.07100764662027359,0.07100764662027359,1.0,1.0,0,0
10,t2_b0,4,3,0.3392583373684886,0.09178248047828674,0.030622150748968124,0.030622150748968124,1.0,1.0,0,0
11,t2_b0,3,1,0.18249543785832945,0.303715318441391,0.0073471288196742535,0.0073471288196742535,0.5,1.0,0,0
11,t2_b0,2,8,-0.09995584137621243,0.23855775594711304,0.05729573220014572,0.05729573220014572,0.5,1.0,0,0
12,t2_b0,9,8,0.0,0.31539374589920044,0.04973660781979561,0.04973660781979561,0.3333333333333333,1.0,0,0
12,t2_b0,6,4,0.0,0.493337482213974,0.12169093638658524,0.12169093638658524,0.3333333333333333,1.0,0,0
13,t2_b0,8,9,0.0831681463704858,0.26364102959632874,0.016285229474306107,0.016285229474306107,0.3333333333333333,1.0,0,0
13,t2_b0,1,4,0.0,0.4008813202381134,0.08035291731357574,0.08035291731357574,0.3333333333333333,1.0,0,0
15,t2_b0,4,1,0.1798317581822182,0.2212127447128296,0.0008561930153518915,0.0008561930153518915,0.5,1.0,0,0
16,t2_b0,2,3,0.10272630701729799,0.20572501420974731,0.00530436635017395,0.00530436635017395,1.0,1.0,0,0
16,t2_b0,0,8,0.023699733292500087,0.13264398276805878,0.005934425164014101,0.005934425164014101,1.0,1.0,0,0
17,t2_b0,8,0,0.12411218385993902,0.1285400688648224,9.803094144444913e-06,9.803094144444913e-06,1.0,1.0,0,0
19,t2_b0,3,0,-0.28158370808573824,0.22561123967170715,0.1286233514547348,0.1286233514547348,1.0,1.0,0,0
19,t2_b0,2,1,0.0,0.24705061316490173,0.030517002567648888,0.030517002567648888,1.0,1.0,0,0
20,t2_b0,5,7,0.9781956269604074,0.3238784074783325,0.21406549215316772,0.21406549215316772,1.0,1.0,0,0
20,t2_b0,4,1,0.06803220031042571,0.23160141706466675,0.013377443887293339,0.013377443887293339,1.0,1.0,0,0
21,t2_b0,7,5,0.01782539994607282,0.48066288232803345,0.10710927098989487,0.10710927098989487,1.0,1.0,0,0
21,t2_b0,1,4,-0.12802575008653633,0.160829097032547,0.041718557476997375,0.041718557476997375,0.5,1.0,0,0
21,t2_b0,0,8,0.19487725318839683,0.20066145062446594,1.6728476111893542e-05,1.6728476111893542e-05,0.5,1.0,0,0
22,t2_b0,8,0,0.16593199643415402,0.2188008725643158,0.001397558837197721,0.001397558837197721,1.0,1.0,0,0
23,t2_b0,4,1,-0.07948036686045118,0.1929703950881958,0.0371147058904171,0.0371147058904171,1.0,1.0,0,0
23,t2_b0,0,8,0.14814352303579056,0.1721552014350891,0.0002882801927626133,0.0002882801927626133,0.5,1.0,0,0
24,t2_b0,3,0,0.025511954376004665,0.1991027593612671,0.015066884458065033,0.015066884458065033,1.0,1.0,0,0
25,t2_b0,1,2,-0.03990191992017447,0.18757587671279907,0.02587307244539261,0.02587307244539261,0.5,1.0,0,0
25,t2_b0,8,0,-0.09621975061263054,0.2676223814487457,0.06619054824113846,0.06619054824113846,1.0,1.0,0,0
26,t2_b0,5,6,-1.0,0.38162004947662354,0.8816200494766235,0.8816200494766235,1.0,1.0,0,0
26,t2_b0,3,0,0.20287415184787366,0.13386327028274536,0.002381250960752368,0.002381250960752368,1.0,1.0,0,0
27,t2_b0,6,5,0.8733089652402206,0.4891977310180664,0.07377071678638458,0.07377071678638458,1.0,1.0,0,0
27,t2_b0,4,1,0.0,0.1565849781036377,0.012259427458047867,0.012259427458047867,1.0,1.0,0,0
28,t2_b0,1,2,-0.05800213070642418,0.13457179069519043,0.01854235678911209,0.01854235678911209,0.5,1.0,0,0
29,t2_b0,0,3,0.04379946770085218,0.16774439811706543,0.0076811728067696095,0.0076811728067696095,0.5,1.0,0,0
