step,eval_is_final,eval_n_pairs_per_zone,t2_b0_total,t2_b0_balanced_rmse_total,t2_b0_reachable_rmse_total,t2_b0_censored_rmse_total,t2_b0_unavailable_censored_rmse_total,t2_b0_false_reachable_rate_total,t2_b0_active_models_total
50,1,5000,27.4569097045901,28.80450521422049,30.491148813115107,13.484031263790229,8.84793258000956,0.8218097963552862,211
100,1,5000,29.113855759568217,29.032166678828307,28.919843451427802,14.337347088024954,10.790406468976474,0.825838849577722,170
150,1,5000,27.933802674612213,28.989872084880364,30.33725115230398,14.08391019034426,9.767462865400145,0.7697719328203789,182
200,1,5000,28.625640975743142,28.64734788617257,28.67307255070042,13.877470148333792,10.008574668562837,0.8698550369644606,206
250,1,5000,28.857587505756985,29.00787546142716,29.20322869873021,14.156483298680541,10.394901123716755,0.844426537738383,204
300,1,5000,28.728861024752806,29.139980845586706,29.674961708631955,14.175944857745323,10.22617462568504,0.8372304768359251,155
350,1,5000,29.018901209494835,29.13376918531643,29.283143705995467,14.376360938532239,10.639299440077359,0.8353350287654876,177
359,1,5000,30.28659398395164,29.00356962212259,27.17163081669703,14.76663740168836,11.833888593463067,0.9035957154678637,199
