step,examples,mean_target_gain,mean_online_prediction,mean_absolute_error,root_mean_squared_error,target_prediction_pearson,cumulative_examples
1,83,0.002890267,0.067301582,0.064411315,0.064791218,-0.218450105,83
2,17,0.141015926,0.061436298,0.172952710,0.285904759,0.006461469,100
3,25,0.242126575,0.036820443,0.235557911,0.371350616,0.241504831,125
4,16,0.296989603,-0.001533231,0.332272779,0.572309188,0.104688287,141
5,25,0.289426204,0.010602713,0.293824732,0.476534452,-0.024320265,166
6,16,0.760154732,0.020850760,0.768077418,1.211115250,0.354062245,182
7,20,0.606708667,0.019498562,0.592091954,0.868832117,0.083690830,202
8,27,0.582536788,0.037889077,0.554880396,0.632649192,0.329221657,229
9,22,1.321747888,0.063756693,1.295198822,2.228332097,-0.002160144,251
10,16,0.748377573,0.088982149,0.701741564,0.974497364,0.210542081,267
11,19,1.918527746,0.119146516,1.830636492,3.365147979,0.154794081,286
12,19,0.936178876,0.138351818,0.839026368,1.117412514,0.088959547,305
13,31,1.606449578,0.181459797,1.467086446,3.208181459,-0.019896446,336
14,18,1.801132184,0.177115465,1.656101874,3.106734640,-0.536716373,354
15,24,2.131117916,0.184005547,1.979842771,3.555649838,-0.316601523,378
16,15,1.327280349,0.217095159,1.176012426,2.006708272,-0.220557494,393
17,23,1.928098493,0.255121173,1.674850489,2.349851060,-0.270362955,416
18,31,2.015418155,0.235016872,1.828317803,3.066760180,-0.389346989,447
19,22,1.497861558,0.292617245,1.207322646,2.489415638,-0.553688201,469
20,22,1.018753292,0.242766543,0.827787071,1.262604554,-0.286969271,491
21,34,1.455805558,0.277981943,1.222058100,1.781759463,-0.128042783,525
22,17,0.858122619,0.330510663,0.736080581,1.397473346,-0.516668445,542
23,21,1.442332375,0.358058121,1.220761328,1.762364202,-0.472977707,563
24,25,1.058614104,0.346190883,0.853142771,1.322572574,-0.285997192,588
25,28,1.345803805,0.390928325,1.211550670,2.772596613,-0.387759161,616
26,21,1.200886637,0.387542653,0.988383938,1.721158622,-0.256605907,637
27,24,0.766117888,0.420831581,0.621834291,0.800142353,-0.269083351,661
28,26,2.019899873,0.420101657,1.891477835,3.624704549,-0.441917495,687
29,31,1.643514991,0.396843831,1.553567047,2.615678964,-0.535933466,718
30,25,0.950778162,0.478194484,0.972283494,2.323198642,-0.353038917,743
31,20,1.860691226,0.408263319,1.596436394,2.494420216,-0.468978393,763
32,29,1.433693112,0.414252054,1.363524145,2.361171923,-0.279137972,792
33,20,1.673120446,0.319446887,1.477089408,2.132118937,-0.202564798,812
34,29,2.092325985,0.452714418,1.936680056,3.386518102,-0.410162776,841
35,20,1.840031608,0.334757883,1.692420788,2.631944019,-0.190349632,861
36,23,1.569453281,0.382979320,1.420067732,2.434263898,-0.201921503,884
37,31,1.426634749,0.386817525,1.209743437,1.767583709,-0.341480734,915
38,21,2.049327195,0.440467503,1.985588872,3.797067245,-0.550641936,936
39,28,1.589391412,0.442758521,1.396558675,2.215024471,-0.355863509,964
40,30,1.376235704,0.524044634,1.118680813,2.399060444,-0.405209566,994
41,33,2.766640542,0.316343394,2.619416863,4.838243986,-0.416613145,1027
42,20,1.078589594,0.479985337,1.061831858,1.413750116,-0.221292633,1047
43,14,1.842218408,0.330674553,1.721217859,3.051570470,-0.341409622,1061
44,26,1.164319779,0.449385540,0.930816689,2.008979173,-0.088554075,1087
45,19,1.485427441,0.396951371,1.239029958,2.381021597,-0.154550024,1106
46,36,1.443986981,0.537319407,1.251373347,2.358674958,-0.150386052,1142
47,30,1.805227266,0.474386892,1.634881630,3.768016535,-0.392615620,1172
48,37,1.482433193,0.458133191,1.153126259,1.719408214,-0.078954454,1209
49,37,2.587426450,0.515218711,2.377904153,4.706216075,-0.453576602,1246
50,27,2.794534905,0.392016973,2.627665452,3.779680485,-0.516111675,1273
51,18,1.247633985,0.425125237,1.069990621,1.997363808,-0.398652622,1291
52,10,0.485208837,0.307641847,0.369693117,0.781762486,-0.084474209,1301
53,14,1.335837902,0.471082096,1.091749725,1.477807636,-0.393358101,1315
54,9,1.289375934,0.439493443,1.325364190,1.808492226,-0.571687457,1324
55,23,0.865517247,0.592457232,0.861088511,1.463156243,0.006688343,1347
56,23,1.941384889,0.539053396,1.629467731,2.657349197,-0.632233537,1370
57,21,1.221985422,0.703638453,0.833027847,1.309125358,-0.728401276,1391
58,27,1.538973090,0.561300848,1.328148900,1.977900755,-0.348017888,1418
59,38,0.904316034,0.601579122,0.697996484,1.221299169,-0.181682540,1456
60,22,2.125700693,0.590791584,1.860860171,3.211697829,-0.531700747,1478
61,34,0.975096703,0.583955825,0.860666578,1.241637392,-0.530796256,1512
62,23,1.323159653,0.591340699,1.337385545,1.907667104,-0.627563269,1535
63,22,1.950669684,0.734312253,1.656630040,3.155239696,-0.720531504,1557
64,33,1.063291731,0.578379887,0.874170380,1.333259941,-0.451841613,1590
65,31,1.651295876,0.669345710,1.309738826,1.789623008,-0.204736012,1621
66,33,1.985022482,0.580507732,1.651471277,3.252423853,-0.455442547,1654
67,34,1.767425845,0.626976708,1.386835481,3.234778754,-0.493043120,1688
68,25,2.657128312,0.547524634,2.295176407,3.551068560,-0.314872648,1713
69,27,1.067203609,0.592180915,0.812834866,1.077669228,-0.371365425,1740
70,20,1.488156607,0.622470330,1.229168602,1.795092450,-0.466268663,1760
71,24,1.269201239,0.694256970,1.071589976,2.565640481,-0.214611246,1784
72,27,1.182367425,0.629228580,1.080068803,2.080782637,-0.405474224,1811
73,22,1.023716415,0.660023077,0.963640344,1.517335498,-0.113969668,1833
74,20,1.186234116,0.512702887,1.176423824,2.130300833,-0.285004690,1853
75,22,1.535932136,0.529229395,1.260174886,1.566935425,-0.072400182,1875
76,23,1.293210974,0.592282742,1.098565606,2.365726685,-0.203549466,1898
77,24,1.174008266,0.437127374,0.808235307,1.140990654,-0.045903902,1922
78,27,1.551375584,0.502041361,1.310037168,2.317694951,-0.321257092,1949
79,37,2.191922973,0.663351790,1.768129251,3.057707810,-0.422845651,1986
80,23,1.068093947,0.628006367,0.670855230,1.033312346,-0.045417332,2009
81,26,1.871233243,0.571410399,1.562780810,2.514350184,-0.549376905,2035
82,24,2.259741338,0.650050864,1.918543098,3.430843626,-0.210975030,2059
83,30,2.043631803,0.625964874,1.619999006,2.497316966,-0.297922345,2089
84,21,1.051663955,0.677774390,1.043385785,1.371459598,-0.288453385,2110
85,34,1.468613703,0.534453233,1.189693209,1.785603044,-0.425925878,2144
86,38,3.041388428,0.536512337,2.790644201,5.447477474,-0.482384661,2182
87,20,3.491588941,0.431775478,3.513889992,5.757760344,-0.538864603,2202
88,19,1.973186549,0.621325759,1.943922147,3.771878615,-0.390382100,2221
89,20,0.950330740,0.604285536,1.146339062,2.617284153,-0.438456969,2241
90,12,1.366744019,0.550237740,1.448600118,2.532482238,-0.648785258,2253
91,16,2.415489029,0.433729574,2.195740815,3.646387746,-0.414380455,2269
92,20,1.160608499,0.589571542,1.064901033,2.061072935,-0.354426301,2289
93,15,2.954817311,0.469791356,2.943979884,6.953047664,-0.465422052,2304
94,22,1.072069197,0.633070297,0.948950787,1.659933965,-0.283252901,2326
95,29,1.067622057,0.644032905,0.981370410,2.080621906,-0.354501332,2355
96,34,1.532405685,0.577095378,1.375342884,2.662945237,-0.506473980,2389
97,27,0.961817347,0.518712941,0.788817517,1.541996087,-0.228705954,2416
98,24,1.060406399,0.672210256,0.821715634,1.546957078,-0.319742948,2440
99,29,2.599777952,0.499825694,2.339452492,3.905236144,-0.521135300,2469
100,19,3.545385415,0.434478274,3.599449078,6.144897271,-0.558430353,2488
101,24,2.269003932,0.468536846,2.100336743,3.572978417,-0.540688619,2512
102,13,2.525681191,0.489210510,2.340468251,3.958164530,-0.447895608,2525
103,20,1.509381984,0.462472635,1.465157976,2.036056632,-0.462687884,2545
104,24,1.215654861,0.671021523,1.127675500,2.013766118,-0.379445259,2569
105,30,1.645817243,0.614677419,1.529271204,2.455035779,-0.032929518,2599
106,16,1.105905209,0.638893327,0.675305608,0.800700550,0.382145277,2615
107,25,2.001530571,0.610828779,1.780948977,2.881077292,-0.365433972,2640
108,20,1.329998803,0.553550900,1.024601612,2.021723815,-0.108377105,2660
109,18,0.735804664,0.576268968,0.729078729,1.131378199,0.370289366,2678
110,23,1.782475504,0.546433098,1.679347493,4.294959754,-0.295583609,2701
111,20,1.377678928,0.653380435,1.175983215,1.872229196,-0.588926157,2721
112,26,1.162272398,0.613280103,1.017035052,1.458927401,-0.065774091,2747
113,25,2.386482761,0.517467374,2.218007325,4.789820866,-0.573459831,2772
114,20,1.927813795,0.481073475,1.970082391,2.883212819,-0.566706405,2792
115,28,2.921363789,0.514305199,2.651593651,4.677067215,-0.473976648,2820
116,22,3.415606648,0.507513531,3.206556534,5.247054799,-0.636669294,2842
117,23,3.312785087,0.505451215,3.092100977,5.434101768,-0.586609589,2865
118,17,2.002519113,0.544166288,1.715701769,2.768326480,-0.396519629,2882
119,17,1.913954695,0.496828340,1.739466428,2.966973254,-0.519010631,2899
120,18,1.919072804,0.466567638,1.700743341,2.949451331,-0.296155802,2917
121,26,2.158952058,0.448085383,2.077704649,3.233432754,-0.474680551,2943
122,18,2.164243927,0.443178849,1.918199825,4.322295066,-0.196646250,2961
123,20,2.013975148,0.530431397,1.710811081,2.572586927,-0.251262306,2981
124,23,1.642963065,0.539325145,1.406658561,2.103377299,-0.299047064,3004
125,16,1.718413085,0.420607522,1.477147672,2.413387970,-0.024765867,3020
126,30,2.977792406,0.516105012,2.957928108,5.377703717,-0.572062803,3050
127,17,0.709920125,0.535504040,0.769257871,0.971974726,-0.504070597,3067
128,16,0.656206025,0.570789934,0.606287061,0.780657068,0.663629974,3083
129,21,1.157742039,0.548909620,0.794976138,1.232574461,-0.171133934,3104
130,24,2.157867031,0.517952260,1.821425708,2.666752298,-0.311759975,3128
131,16,2.232445702,0.446851957,2.112540517,3.655868542,-0.464610857,3144
132,15,2.333340516,0.373975750,2.187177706,3.181394035,-0.307112723,3159
133,26,2.777778067,0.521125394,2.463054494,5.169521675,-0.402919242,3185
134,20,3.042536216,0.417607549,2.804025125,4.112996604,-0.140129327,3205
135,23,2.509983149,0.503514660,2.339095868,4.348209475,-0.405369657,3228
136,26,2.855352909,0.453104948,2.534916546,4.004266437,-0.440570717,3254
137,14,3.306629560,0.436975074,3.110085382,5.456468461,-0.399190255,3268
138,18,1.574350008,0.482958696,1.551642823,2.137602334,-0.232641631,3286
139,17,2.843115843,0.428589377,2.414526466,2.948799800,0.027328142,3303
140,20,4.204352302,0.465951099,4.050728272,6.274362707,-0.675244203,3323
141,22,2.790811497,0.392238788,2.458044965,3.233080760,-0.338782647,3345
142,24,2.990304161,0.535197048,2.737612816,4.017351748,-0.203257827,3369
143,29,3.630310873,0.527833080,3.279186400,5.124514370,-0.488050822,3398
144,22,1.691587137,0.585961885,1.425817531,2.254289560,-0.642325594,3420
145,18,2.506994227,0.388224614,2.260868461,3.920477262,-0.103281679,3438
146,30,2.046279366,0.537075161,1.818317850,3.707377943,-0.421892140,3468
147,27,1.397415264,0.410447326,1.157537693,1.940566814,-0.152611603,3495
148,22,2.492402180,0.400861587,2.179512585,3.378400581,0.049306469,3517
