step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_advertisement_bytes,expert_advertisement_scalar_values,expert_bank_accepted_pulls,expert_bank_coverage_recalculations,expert_bank_manifest_records,expert_bank_model_messages,expert_bank_receivers,expert_bank_rejected_pulls,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db
38,32208,8052,-100.0,0.0,230714860,57678715,14,3054,14962,14,36,0,750,375,254632,55.546152,0.254632,14,1.0,63630,254520,0.0,-100.0,123.0,-100.0,0.0
39,30976,7744,-100.0,0.0,220764496,55191124,12,3067,14228,13,35,1,706,353,236444,55.782596,0.236444,13,1.0,59085,236340,0.0,-100.0,123.0,-100.0,0.0
40,28996,7249,-100.0,0.0,218866136,54716534,11,3079,14051,12,35,1,714,357,218256,56.000852,0.218256,12,1.0,54540,218160,0.0,-100.0,123.0,-100.0,0.0
41,79728,19932,-100.0,0.0,225529016,56382254,30,3110,14437,31,35,1,760,380,563828,56.56468,0.563828,31,1.0,140895,563580,0.0,-100.0,123.0,-100.0,0.0
42,65208,16302,-100.0,0.0,238491148,59622787,26,3136,15119,26,38,0,858,429,472888,57.037568,0.472888,26,1.0,118170,472680,0.0,-100.0,123.0,-100.0,0.0
43,99748,24937,-100.0,0.0,224608556,56152139,48,3184,14178,48,37,0,764,382,873024,57.910592,0.873024,48,1.0,218160,872640,0.0,-100.0,123.0,-100.0,0.0
44,11484,2871,-100.0,0.0,227308896,56827224,6,3190,14283,6,38,0,744,372,109128,58.01972,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0
45,150260,37565,-100.0,0.0,222700616,55675154,50,3240,13964,50,37,0,712,356,909400,58.92912,0.9094,50,1.0,227250,909000,0.0,-100.0,123.0,-100.0,0.0
46,56496,14124,-100.0,0.0,228830596,57207649,17,3257,14157,17,36,0,718,359,309196,59.238316,0.309196,17,1.0,77265,309060,0.0,-100.0,123.0,-100.0,0.0
47,26752,6688,-100.0,0.0,232382024,58095506,10,3268,14347,11,35,1,726,363,200068,59.438384,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0
48,22616,5654,-100.0,0.0,234131664,58532916,9,3277,14398,9,33,0,712,356,163692,59.602076,0.163692,9,1.0,40905,163620,0.0,-100.0,123.0,-100.0,0.0
49,15268,3817,-100.0,0.0,242180136,60545034,6,3284,14860,7,34,1,754,377,127316,59.729392,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0
50,28468,7117,-100.0,0.0,238711484,59677871,10,3296,14620,12,34,2,740,370,218256,59.947648,0.218256,12,1.0,54540,218160,0.0,-100.0,123.0,-100.0,0.0
