step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,0,0,588,588,588
2,0,0,623,1211,623
3,0,0,616,1827,616
4,0,0,617,2444,617
5,0,0,631,3075,631
6,0,0,658,3733,658
7,0,0,673,4406,673
8,0,0,671,5077,671
9,0,0,697,5774,697
10,0,0,681,6455,681
11,0,0,678,7133,678
12,0,0,653,7786,653
13,0,0,638,8424,638
14,0,0,618,9042,618
15,0,0,650,9692,650
16,0,0,673,10365,673
17,0,0,690,11055,690
18,0,0,716,11771,716
19,0,0,692,12463,692
20,0,0,697,13160,697
21,0,0,688,13848,688
22,0,0,667,14515,667
23,0,0,678,15193,678
24,0,0,683,15876,683
25,0,0,696,16572,696
26,0,0,696,17268,696
27,0,0,707,17975,707
28,0,0,710,18685,710
29,0,0,699,19384,699
30,0,0,687,20071,687
31,0,0,701,20772,701
32,0,0,748,21520,748
33,0,0,754,22274,754
34,0,0,738,23012,738
35,0,0,753,23765,753
36,0,0,772,24537,772
37,0,0,813,25350,813
38,0,0,808,26158,808
39,0,0,806,26964,806
40,0,0,783,27747,783
41,0,0,814,28561,814
42,0,0,804,29365,804
43,0,0,808,30173,808
44,0,0,811,30984,811
45,0,0,832,31816,832
46,0,0,858,32674,858
47,0,0,868,33542,868
48,0,0,872,34414,872
49,0,0,871,35285,871
50,0,0,842,36127,842
51,0,0,812,36939,812
52,0,0,796,37735,796
53,0,0,806,38541,806
54,0,0,807,39348,807
55,0,0,845,40193,845
56,0,0,854,41047,854
57,0,0,877,41924,877
58,0,0,898,42822,898
59,0,0,890,43712,890
60,0,0,888,44600,888
61,0,0,897,45497,897
62,0,0,896,46393,896
63,0,0,908,47301,908
64,0,0,919,48220,919
65,0,0,902,49122,902
66,0,0,856,49978,856
67,0,0,823,50801,823
68,0,0,770,51571,770
69,0,0,748,52319,748
70,0,0,751,53070,751
71,0,0,734,53804,734
72,0,0,737,54541,737
73,0,0,743,55284,743
74,0,0,749,56033,749
75,0,0,782,56815,782
76,0,0,792,57607,792
77,0,0,790,58397,790
78,0,0,800,59197,800
79,0,0,806,60003,806
80,0,0,798,60801,798
81,0,0,781,61582,781
82,0,0,766,62348,766
83,0,0,735,63083,735
84,0,0,720,63803,720
85,0,0,728,64531,728
86,0,0,724,65255,724
87,0,0,664,65919,664
88,0,0,656,66575,656
89,0,0,631,67206,631
90,0,0,636,67842,636
91,0,0,633,68475,633
92,0,0,642,69117,642
93,0,0,649,69766,649
94,0,0,639,70405,639
95,0,0,669,71074,669
96,0,0,690,71764,690
97,0,0,703,72467,703
98,0,0,707,73174,707
99,0,0,690,73864,690
100,0,0,673,74537,673
101,0,0,664,75201,664
102,0,0,676,75877,676
103,0,0,686,76563,686
104,0,0,666,77229,666
105,0,0,645,77874,645
106,0,0,611,78485,611
107,0,0,608,79093,608
108,0,0,596,79689,596
109,0,0,589,80278,589
110,0,0,579,80857,579
111,0,0,568,81425,568
112,0,0,582,82007,582
113,0,0,582,82589,582
114,0,0,629,83218,629
115,0,0,638,83856,638
116,0,0,622,84478,622
117,0,0,616,85094,616
118,0,0,602,85696,602
119,0,0,589,86285,589
120,0,0,597,86882,597
121,0,0,586,87468,586
122,0,0,575,88043,575
123,0,0,583,88626,583
124,0,0,572,89198,572
125,0,0,555,89753,555
126,0,0,549,90302,549
127,0,0,508,90810,508
128,0,0,511,91321,511
129,0,0,514,91835,514
130,0,0,520,92355,520
131,0,0,537,92892,537
132,0,0,582,93474,582
133,0,0,579,94053,579
134,0,0,575,94628,575
135,0,0,571,95199,571
136,0,0,591,95790,591
137,0,0,612,96402,612
