step,examples,mean_target_gain,mean_online_prediction,mean_absolute_error,root_mean_squared_error,target_prediction_pearson,cumulative_examples
1,588,0.004181870,0.023330810,0.031476393,0.038601514,-0.015779704,588
2,623,0.096956510,-0.010273056,0.113274201,0.227115164,0.244194971,1211
3,616,0.129190855,0.066131614,0.107740048,0.218141410,0.047223168,1827
4,617,0.192175774,0.122251534,0.150243107,0.296970137,-0.084048747,2444
5,631,0.269536049,0.157249956,0.205332748,0.430631019,0.002928833,3075
6,658,0.568391553,0.195863763,0.473341613,1.012908582,-0.213393377,3733
7,673,0.490689871,0.247706564,0.384040784,0.694306864,0.138721378,4406
8,671,0.547445964,0.301632450,0.401741361,0.603036529,-0.005978967,5077
9,697,0.881760262,0.346170154,0.686399470,1.739287641,-0.106112370,5774
10,681,0.689040817,0.418671093,0.483816888,0.727407368,0.148293378,6455
11,678,0.822919246,0.475542069,0.546147379,0.854759389,0.254396338,7133
12,653,0.859499013,0.534322545,0.581956514,0.883435837,0.192903670,7786
13,638,0.920644873,0.574022473,0.633397608,1.171929759,0.236823112,8424
14,618,1.056429004,0.607857127,0.718425933,1.098397710,0.233311902,9042
15,650,1.029648842,0.624435226,0.724662331,1.041311651,0.185259527,9692
16,673,0.999097448,0.658506917,0.704420125,1.071487008,0.072426044,10365
17,690,1.182786265,0.690632000,0.840579873,1.382751026,0.026729295,11055
18,716,1.190837417,0.705887988,0.820712044,1.242913495,0.213508385,11771
19,692,0.917796492,0.747615387,0.615029941,0.836270788,0.378114713,12463
20,697,0.630569907,0.738926924,0.604628722,0.787051172,0.067248453,13160
21,688,0.567935365,0.713858291,0.565553609,0.808243773,0.065198947,13848
22,667,0.628176898,0.665406815,0.535659249,1.071121964,-0.014284106,14515
23,678,0.639141442,0.605312187,0.504871463,1.001113693,0.007583746,15193
24,683,0.762015820,0.565780893,0.554644799,0.806886695,0.170449072,15876
25,696,0.794863939,0.559451780,0.571073944,0.902367418,0.045425416,16572
26,696,0.924180219,0.566867946,0.692781330,1.290551126,0.001427445,17268
27,707,0.946171435,0.584107417,0.674000630,1.082923593,0.142645916,17975
28,710,1.051808862,0.593548710,0.791530931,1.144766165,0.060175723,18685
29,699,0.765157166,0.618237563,0.554116101,0.855411197,0.178512399,19384
30,687,0.763895313,0.624356292,0.567074206,1.116918574,0.143711105,20071
31,701,0.855312425,0.614988889,0.603869876,1.254160622,0.112962429,20772
32,748,0.705925746,0.615859009,0.569895533,1.040784963,0.172112124,21520
33,754,0.782187780,0.606553043,0.635832762,1.276756523,0.122973682,22274
34,738,1.266973910,0.621450655,1.006045954,1.872743777,0.035852573,23012
35,753,0.915444590,0.633006537,0.731002917,1.143488218,0.191956775,23765
36,772,1.111409660,0.647441409,0.787449102,1.246574264,0.216800550,24537
37,813,1.122060158,0.650846006,0.910558077,2.168940021,-0.043272765,25350
38,808,0.973399372,0.671902147,0.766704834,1.264411625,0.055125678,26158
39,806,1.076567502,0.680735067,0.824585209,1.506387239,0.081193204,26964
40,783,0.880134237,0.684908125,0.682055484,0.990695282,0.312453106,27747
41,814,1.092832937,0.667732737,0.773502544,1.405633611,0.116173902,28561
42,804,0.855632015,0.678724724,0.744116259,1.243074289,-0.044472462,29365
43,808,1.007725046,0.672138027,0.747115592,1.281232431,0.126119066,30173
44,811,1.288710799,0.669808512,1.031136159,2.482047051,-0.111720695,30984
45,832,1.147774448,0.676907793,0.850722687,1.931064412,-0.007290082,31816
46,858,1.314340903,0.701588293,1.034533420,2.390128626,-0.092125933,32674
47,868,0.961383662,0.707388690,0.801647001,1.213530273,0.031083371,33542
48,872,1.193509797,0.670234822,1.024517840,2.787487395,-0.153128371,34414
49,871,1.293263147,0.682611322,1.006542451,2.323080300,-0.098233957,35285
50,842,1.480292088,0.673555213,1.146299412,2.391878578,-0.135172968,36127
