step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,2,562500.0,65.9756851196289,64.77826690673828,4,8,2,2,8,0,4,-105.0,70.5,-47.5,192878,0,0,32,4,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,0,562500.0,32.12528073485071,18.64293335141657,9,18,0,7,18,0,7,-105.0,70.5,-47.5,192878,2,0,32,9,2,2,5.0,2025380,2.603964,nan,2.02538,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,336,2,7
4,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,0,562500.0,40.84464446871422,29.154282850909652,16,32,0,3,32,0,3,-105.0,70.5,-47.5,192878,7,0,32,16,7,12,5.0,869052,3.473016,nan,0.869052,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1176,7,3
5,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,1,562500.0,30.391867220561533,21.045177782502414,25,50,1,6,50,0,7,-105.0,70.5,-47.5,192878,10,0,32,25,7,15,5.0,1737432,5.210448,nan,1.737432,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1680,10,6
6,-47.5,57.5,68,34,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.43134869564817,19.456535960631257,34,68,3,9,68,0,12,-105.0,70.5,-47.5,192878,20,0,32,34,9,22,5.0,2606988,7.817436,nan,2.606988,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,3360,20,9
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,1,562500.0,25.923301548275884,19.76508178839798,38,76,1,6,76,0,7,-105.0,70.5,-47.5,192878,33,0,32,38,14,33,5.0,1741296,9.558732,nan,1.741296,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,5544,33,6
8,-47.5,57.5,94,47,0,0.0,0.0,0,0.0,57.5,0,562500.0,41.43721141500147,20.062340844686712,47,94,0,5,94,0,5,-105.0,70.5,-47.5,192878,26,0,32,47,11,37,5.0,1450828,11.00956,nan,1.450828,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,4368,26,5
9,-47.5,57.5,112,56,0,0.0,0.0,0,0.0,57.5,1,562500.0,48.313791879663725,35.3699964024668,56,112,1,4,112,0,5,-105.0,70.5,-47.5,192878,37,0,32,56,13,44,5.0,1163384,12.172944,nan,1.163384,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,6216,37,4
10,-47.5,57.5,114,57,0,0.0,0.0,0,0.0,57.5,0,562500.0,55.79522833705413,36.86197523042969,57,114,0,4,114,0,4,-105.0,70.5,-47.5,192878,52,0,32,57,12,41,5.0,1165904,13.338848,nan,1.165904,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,8736,52,4
