step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,policy,100,400,8,32,138.5,119.65625,138.5,119.65625,21.2,0,35,-1,nan,810,64,64,0.07901234567901234,0.27251902584543203,0.796875,0.796875,0.08816666101901173,0.59375,0.008482052087253144,nan,0.0,nan,0.5339466980207721,0.59375,1.1120023818873797,17.609375,810,64,64,0.07901234567901234,0.27251902584543203,0.796875,0.796875,0.08816666101901173,0.59375,0.008482052087253144,nan,0.0,nan,0.5339466980207721,0.59375,1.1120023818873797,17.609375
50,policy,100,400,8,32,307.75,236.84375,307.75,236.84375,72.2,0,100,-1,nan,1749,135,135,0.07718696397941681,0.25878143670761994,0.8222222222222222,0.8222222222222222,0.13011690229124076,0.5481481481481482,0.04322542375014313,nan,0.0,nan,0.5301984353871146,0.6148148148148148,1.1595937931539142,76.17777777777778,1749,135,135,0.07718696397941681,0.25878143670761994,0.8222222222222222,0.8222222222222222,0.13011690229124076,0.5481481481481482,0.04322542375014313,nan,0.0,nan,0.5301984353871146,0.6148148148148148,1.1595937931539142,76.17777777777778
75,policy,100,400,8,32,397.5,266.53125,493.625,304.0,133.875,0,154,-1,nan,2690,183,183,0.06802973977695168,0.2578683439789663,0.8415300546448088,0.8415300546448088,0.1345360691783392,0.5737704918032787,0.04813671206707709,nan,0.0,nan,0.5240507035302574,0.639344262295082,1.220004587319799,139.40983606557376,2690,183,183,0.06802973977695168,0.2578683439789663,0.8415300546448088,0.8415300546448088,0.1345360691783392,0.5737704918032787,0.04813671206707709,nan,0.0,nan,0.5240507035302574,0.639344262295082,1.220004587319799,139.40983606557376
100,policy,100,400,8,32,400.0,291.625,656.875,395.21875,163.425,0,197,100,24.55429730528542,3597,228,228,0.0633861551292744,0.24593880214440203,0.8421052631578947,0.8421052631578947,0.15201468268886684,0.5394736842105263,0.04433541735566094,nan,0.0,nan,0.5250740155035402,0.6140350877192983,1.1694257753936756,129.66666666666666,3597,228,228,0.0633861551292744,0.24593880214440203,0.8421052631578947,0.8421052631578947,0.15201468268886684,0.5394736842105263,0.04433541735566094,nan,0.0,nan,0.5250740155035402,0.6140350877192983,1.1694257753936756,129.66666666666666
125,policy,100,400,8,32,400.0,233.40625,772.625,300.09375,208.775,0,250,100,24.55429730528542,3614,230,230,0.06364139457664637,0.2578879015917187,0.8434782608695652,0.8434782608695652,0.14580755794791753,0.5652173913043478,0.05363442870993279,nan,0.0,nan,0.523232722513298,0.6521739130434783,1.2464318170140882,313.53913043478263,4424,294,294,0.06645569620253164,0.2610729082319828,0.8333333333333334,0.8333333333333334,0.13472868576690117,0.5714285714285714,0.04536737964474958,nan,0.0,nan,0.5251943681193229,0.6394557823129252,1.2175602427016934,249.11904761904762
150,policy,100,400,8,32,400.0,234.8125,904.5,333.15625,236.675,0,304,100,24.55429730528542,3494,208,208,0.059530623926731537,0.26504521020296684,0.8269230769230769,0.8269230769230769,0.13862967310021873,0.6394230769230769,0.04549415167569242,nan,0.0,nan,0.5229456743409233,0.6826923076923077,1.305474624209705,491.2019230769231,5243,343,343,0.06542056074766354,0.2625798766115038,0.8250728862973761,0.8250728862973761,0.1282708168236273,0.6034985422740525,0.04473733207970049,nan,0.0,nan,0.5253651057866201,0.6559766763848397,1.2486110500290215,327.8542274052478
175,policy,100,400,8,32,400.0,222.03125,1071.5,306.71875,270.15,0,354,100,24.55429730528542,3393,210,210,0.0618921308576481,0.26971156835096516,0.8142857142857143,0.8142857142857143,0.11296001088873184,0.6761904761904762,0.03960899578871272,nan,0.0,nan,0.5253175304899443,0.6857142857142857,1.3053329575252233,553.2904761904762,6083,393,393,0.06460627979615322,0.2641967844830878,0.8269720101781171,0.8269720101781171,0.11475170144120848,0.628498727735369,0.04338008847140222,nan,0.0,nan,0.5247573193241449,0.6641221374045801,1.2655795602049507,360.5674300254453
200,policy,100,400,8,32,400.0,169.1875,1196.125,216.9375,240.675,0,399,200,28.42491705347575,3248,213,213,0.06557881773399014,0.29697381566420156,0.7934272300469484,0.7934272300469484,0.02649167206341004,0.7652582159624414,0.03843599914200123,nan,0.0,nan,0.5250463044413167,0.7183098591549296,1.3680885915752856,653.3333333333334,6845,441,441,0.06442658875091307,0.27058836649750245,0.81859410430839,0.81859410430839,0.07959895085975728,0.6485260770975056,0.04153610247502299,nan,0.0,nan,0.5250608664122177,0.6643990929705216,1.265375379259195,382.59410430839
225,policy,100,400,8,32,400.0,230.96875,1284.0,313.40625,372.675,0,448,200,28.42491705347575,3229,205,205,0.06348714772375348,0.30741522468667537,0.8,0.8,-0.1339236134205032,0.824390243902439,0.031957584898547345,nan,0.0,nan,0.521790785347614,0.7024390243902439,1.3462081817375962,546.8341463414635,7653,499,499,0.065203188292173,0.28011133483160605,0.8196392785571143,0.8196392785571143,0.03432498384203752,0.6753507014028056,0.039709438022446295,nan,0.0,nan,0.5237583079115812,0.6653306613226453,1.2703009217659298,371.4268537074148
250,policy,100,400,8,32,400.0,233.40625,1386.375,287.78125,397.75,0,501,200,28.42491705347575,3253,205,205,0.0630187519213034,0.3174389815456086,0.7951219512195122,0.7951219512195122,-0.2323140361061245,0.8536585365853658,0.027570778732173583,nan,0.0,nan,0.514835600748604,0.6682926829268293,1.2980700673284615,530.3609756097561,8496,548,548,0.06450094161958568,0.2831019870339335,0.8138686131386861,0.8138686131386861,0.014047094277817147,0.6970802919708029,0.03816449803550262,nan,0.0,nan,0.5213335050464287,0.6605839416058394,1.267104329975894,403.6094890510949
