step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
1,364,692,0,0,0
2,710,688,0,0,0
3,1042,700,2,0,0
4,1379,698,5,0,0
5,1717,704,0,0,0
6,2055,722,9,0,0
7,2370,728,22,0,0
8,2646,716,84,0,0
9,2952,708,52,0,0
10,3093,688,158,0,0
11,3017,692,402,4,4
12,3013,684,329,8,4
13,3022,682,318,8,0
14,3031,688,335,12,4
15,3132,704,268,12,0
16,3161,742,323,12,0
17,3210,736,313,16,4
18,3213,738,339,36,20
19,3072,758,472,92,56
20,3215,766,254,172,80
21,3299,772,275,264,92
22,3329,794,385,380,116
23,3383,778,317,512,132
24,3450,784,295,660,148
25,3536,794,306,824,164
26,3598,800,307,1000,176
27,3588,804,408,1192,192
28,3674,804,295,1384,192
29,3683,808,362,1600,216
30,3717,804,363,1816,216
31,3710,816,375,2032,216
32,3557,802,502,2252,220
33,3402,788,497,2468,216
34,3298,780,426,2672,204
35,3217,778,425,2868,196
36,3241,790,323,3056,188
37,3185,796,412,3248,192
38,3117,780,415,3432,184
39,3171,768,285,3616,184
40,3202,774,322,3796,180
41,3105,772,407,3976,180
42,3028,748,369,4156,180
43,3024,752,332,4340,184
44,2971,762,411,4528,188
45,2959,778,324,4712,184
46,2854,788,428,4892,180
47,2811,780,386,5060,168
48,2893,786,275,5224,164
49,3014,792,243,5388,164
50,3117,794,255,5556,168
51,3234,814,241,5732,176
52,3348,828,279,5912,180
53,3370,828,323,6096,184
54,3369,808,355,6288,192
55,3482,816,264,6484,196
56,3525,810,309,6700,216
57,3508,810,369,6920,220
58,3320,810,490,7140,220
59,3349,810,310,7344,204
60,3219,800,455,7552,208
61,3181,798,406,7748,196
62,3026,774,462,7936,188
63,3006,768,342,8116,180
64,2863,790,466,8292,176
65,2878,794,301,8452,160
66,2863,786,329,8612,160
67,2895,818,339,8768,156
68,3009,816,234,8928,160
69,2927,818,421,9080,152
70,3007,816,294,9236,156
71,2987,818,376,9404,168
72,2963,806,348,9572,168
73,3073,796,267,9732,160
74,3053,780,356,9904,172
75,3114,748,279,10068,164
76,3034,758,391,10236,168
77,2988,770,359,10400,164
78,3067,762,264,10556,156
79,3048,828,359,10728,172
80,3066,810,318,10892,164
81,3041,776,337,11064,172
82,3106,770,253,11244,180
83,3067,768,380,11428,184
84,2985,774,403,11612,184
85,2973,760,326,11788,176
86,2812,712,466,11972,184
87,2861,718,271,12152,180
88,2725,696,433,12332,180
89,2738,700,260,12516,184
90,2803,694,240,12700,184
91,2793,704,302,12892,192
92,2715,700,360,13076,184
93,2790,700,246,13256,180
94,2697,700,377,13444,188
95,2623,692,360,13628,184
96,2610,688,285,13808,180
97,2622,672,265,13988,180
98,2634,656,282,14172,184
99,2608,668,321,14356,184
100,2646,684,261,14528,172
101,2613,678,320,14708,180
102,2633,700,271,14888,180
103,2546,694,377,15060,172
104,2499,720,345,15232,172
105,2576,724,253,15400,168
106,2599,736,290,15572,172
107,2669,740,262,15736,164
108,2605,722,353,15896,160
109,2659,750,252,16052,156
110,2690,746,278,16208,156
111,2785,732,217,16368,160
112,2849,728,239,16536,168
113,2817,728,317,16716,180
114,2797,770,337,16900,184
115,2712,740,382,17076,176
116,2798,746,229,17244,168
117,2781,750,318,17424,180
118,2712,748,361,17608,184
119,2711,750,282,17784,176
120,2775,752,246,17960,176
121,2755,784,342,18140,180
122,2731,748,311,18312,172
123,2853,750,204,18484,172
124,2865,758,327,18668,184
125,2899,792,296,18856,188
126,2809,778,390,19040,184
127,2848,774,277,19220,180
128,2860,806,309,19408,188
129,2919,818,283,19592,184
130,2989,822,280,19772,180
131,3023,816,328,19956,184
132,3023,834,324,20140,184
133,2986,818,358,20316,176
134,2841,786,455,20488,172
135,2832,772,330,20648,160
136,2960,756,215,20808,160
137,2866,748,411,20980,172
138,2757,736,392,21144,164
139,2664,736,394,21296,152
140,2677,740,281,21440,144
141,2663,770,320,21584,144
142,2607,760,352,21728,144
143,2625,758,274,21884,156
144,2628,762,321,22044,160
145,2689,768,261,22200,156
146,2629,780,354,22352,152
147,2612,786,348,22504,152
148,2571,776,355,22664,160
149,2604,760,264,22820,156
150,2570,748,336,22976,156
151,2675,744,205,23136,160
152,2692,744,257,23300,164
153,2788,742,235,23468,168
154,2836,740,253,23644,176
155,2748,774,385,23820,176
156,2736,790,320,23996,176
157,2698,810,362,24168,172
158,2737,800,303,24340,172
159,2836,814,242,24512,172
160,2794,828,361,24692,180
161,2762,820,338,24864,172
162,2815,834,263,25028,164
163,2761,798,377,25192,164
164,2821,812,273,25344,152
165,2837,832,294,25504,160
166,2966,838,224,25668,164
167,2969,824,311,25844,176
168,2909,810,345,26020,176
169,2875,796,343,26188,168
