step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.25_comm_bytes,t2_b0.25_comm_cumulative_mb,t2_b0.25_comm_cumulative_vs_greedy_ratio,t2_b0.25_comm_mb,t2_b0.25_comm_vs_greedy_ratio,t2_b0.25_events,t2_b0.25_merge_metadata_bytes,t2_b0.25_metadata_bytes,t2_b0.25_model_bytes,t2_b0.25_policy_model_bytes,t2_b0.25_selected_providers
1,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55525028,55.525028,nan,55.525028,nan,364,2912,479556,52382512,2660048,364
2,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52916392,108.44142,nan,52.916392,nan,346,2768,476784,49792168,2644672,346
3,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52107340,160.54876,nan,52.10734,nan,340,2720,485100,48928720,2690800,340
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53105678,213.654438,nan,53.105678,nan,347,2776,483714,49936076,2683112,347
5,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51837656,265.492094,nan,51.837656,nan,338,2704,487872,48640904,2706176,338
6,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53502398,318.994492,nan,53.502398,nan,349,2792,500346,50223892,2775368,349
7,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52234376,371.228868,nan,52.234376,nan,340,2720,504504,48928720,2798432,340
8,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57504824,428.733692,nan,57.504824,nan,377,3016,496188,54253316,2752304,377
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56029368,484.76306,nan,56.029368,nan,367,2936,490644,52814236,2721552,367
10,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48742828,533.505888,nan,48.742828,nan,317,2536,476784,45618836,2644672,317
11,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51351464,584.857352,nan,51.351464,nan,335,2680,479556,48209180,2660048,335
12,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50451672,635.309024,nan,50.451672,nan,329,2632,474012,47345732,2629296,329
13,-100.0,5.0,682,341,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50874346,686.18337,nan,50.874346,nan,332,2656,472626,47777456,2621608,332
14,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53635972,739.819342,nan,53.635972,nan,351,2808,476784,50511708,2644672,351
15,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56299052,796.118394,nan,56.299052,nan,369,2952,487872,53102052,2706176,369
16,-100.0,5.0,742,371,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55751878,851.870272,nan,55.751878,nan,364,2912,514206,52382512,2852248,364
17,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56875984,908.746256,nan,56.875984,nan,372,2976,510048,53533776,2829184,372
18,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53718906,962.465162,nan,53.718906,nan,350,2800,511434,50367800,2836872,350
19,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54241394,1016.706556,nan,54.241394,nan,353,2824,525294,50799524,2913752,353
20,-100.0,5.0,766,383,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60609994,1077.31655,nan,60.609994,nan,397,3176,530838,57131476,2944504,397
21,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55168408,1132.484958,nan,55.168408,nan,359,2872,534996,51662972,2967568,359
22,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65198426,1197.683384,nan,65.198426,nan,428,3424,550242,61592624,3052136,428
23,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57930034,1255.613418,nan,57.930034,nan,378,3024,539154,54397224,2990632,378
24,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55654600,1311.268018,nan,55.6546,nan,362,2896,543312,52094696,3013696,362
25,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60017450,1371.285468,nan,60.01745,nan,392,3136,550242,56411936,3052136,392
26,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56734604,1428.020072,nan,56.734604,nan,369,2952,554400,53102052,3075200,369
27,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62653308,1490.67338,nan,62.653308,nan,410,3280,557172,59002280,3090576,410
