step,active_count,active_ids
203,1,dyn_northeast_modular_building
204,1,dyn_northeast_modular_building
205,1,dyn_northeast_modular_building
206,1,dyn_northeast_modular_building
207,1,dyn_northeast_modular_building
208,1,dyn_northeast_modular_building
209,1,dyn_northeast_modular_building
210,2,dyn_southwest_modular_building;dyn_northeast_modular_building
211,2,dyn_southwest_modular_building;dyn_northeast_modular_building
212,2,dyn_southwest_modular_building;dyn_northeast_modular_building
213,1,dyn_southwest_modular_building
214,1,dyn_southwest_modular_building
215,1,dyn_southwest_modular_building
216,1,dyn_southwest_modular_building
217,1,dyn_southwest_modular_building
218,1,dyn_southwest_modular_building
219,1,dyn_southwest_modular_building
220,1,dyn_southwest_modular_building
221,1,dyn_southwest_modular_building
222,1,dyn_southwest_modular_building
223,1,dyn_southwest_modular_building
224,1,dyn_southwest_modular_building
225,1,dyn_southwest_modular_building
226,1,dyn_southwest_modular_building
227,1,dyn_southwest_modular_building
228,1,dyn_southwest_modular_building
229,0,
230,0,
231,0,
232,0,
233,0,
234,0,
235,0,
236,0,
237,0,
238,0,
239,0,
240,0,
241,0,
242,0,
243,0,
244,0,
245,0,
246,0,
247,0,
248,0,
249,0,
250,0,
251,1,dyn_northeast_modular_building
252,1,dyn_northeast_modular_building
253,2,dyn_southwest_modular_building;dyn_northeast_modular_building
254,2,dyn_southwest_modular_building;dyn_northeast_modular_building
255,2,dyn_southwest_modular_building;dyn_northeast_modular_building
256,2,dyn_southwest_modular_building;dyn_northeast_modular_building
257,2,dyn_southwest_modular_building;dyn_northeast_modular_building
258,2,dyn_southwest_modular_building;dyn_northeast_modular_building
259,2,dyn_southwest_modular_building;dyn_northeast_modular_building
260,2,dyn_southwest_modular_building;dyn_northeast_modular_building
261,2,dyn_southwest_modular_building;dyn_northeast_modular_building
262,2,dyn_southwest_modular_building;dyn_northeast_modular_building
263,2,dyn_southwest_modular_building;dyn_northeast_modular_building
264,2,dyn_southwest_modular_building;dyn_northeast_modular_building
265,2,dyn_southwest_modular_building;dyn_northeast_modular_building
266,2,dyn_southwest_modular_building;dyn_northeast_modular_building
267,2,dyn_southwest_modular_building;dyn_northeast_modular_building
268,2,dyn_southwest_modular_building;dyn_northeast_modular_building
269,2,dyn_southwest_modular_building;dyn_northeast_modular_building
270,2,dyn_southwest_modular_building;dyn_northeast_modular_building
271,2,dyn_southwest_modular_building;dyn_northeast_modular_building
272,1,dyn_northeast_modular_building
273,1,dyn_northeast_modular_building
274,1,dyn_northeast_modular_building
275,1,dyn_northeast_modular_building
276,1,dyn_northeast_modular_building
277,1,dyn_northeast_modular_building
278,1,dyn_northeast_modular_building
279,1,dyn_northeast_modular_building
280,0,
281,0,
