step,active_count,active_ids
166,1,dyn_a3_existing_sparse_block
167,1,dyn_a3_existing_sparse_block
168,1,dyn_a3_existing_sparse_block
169,1,dyn_a3_existing_sparse_block
170,1,dyn_a3_existing_sparse_block
171,1,dyn_a3_existing_sparse_block
172,1,dyn_a3_existing_sparse_block
173,1,dyn_a3_existing_sparse_block
174,1,dyn_a3_existing_sparse_block
175,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
176,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
177,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
178,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
179,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
180,1,dyn_a4_existing_dense_block
181,1,dyn_a4_existing_dense_block
182,1,dyn_a4_existing_dense_block
183,1,dyn_a4_existing_dense_block
184,1,dyn_a4_existing_dense_block
185,1,dyn_a4_existing_dense_block
186,1,dyn_a4_existing_dense_block
187,1,dyn_a4_existing_dense_block
188,1,dyn_a4_existing_dense_block
189,1,dyn_a4_existing_dense_block
190,1,dyn_a4_existing_dense_block
191,1,dyn_a4_existing_dense_block
192,1,dyn_a4_existing_dense_block
193,1,dyn_a4_existing_dense_block
194,1,dyn_a4_existing_dense_block
195,1,dyn_a4_existing_dense_block
196,1,dyn_a4_existing_dense_block
197,1,dyn_a4_existing_dense_block
198,1,dyn_a4_existing_dense_block
199,1,dyn_a4_existing_dense_block
200,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
201,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
202,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
203,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
204,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
205,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
206,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
207,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
208,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
209,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
210,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
211,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
212,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
213,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
214,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
215,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
216,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
217,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
218,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
219,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
220,1,dyn_a4_existing_dense_block
221,1,dyn_a4_existing_dense_block
222,1,dyn_a4_existing_dense_block
223,1,dyn_a4_existing_dense_block
