step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,308,308,294,68.952976,68.952976,0,14471072,54441920,0
2,2445,4890,313,313,313,71.31966,140.272636,0,14705992,55648200,922900
3,2469,4938,310,310,309,72.918504,213.19114,0,14565040,56194440,2117000
4,2401,4802,310,310,310,72.35896,285.5501,0,14565040,54646760,3105000
5,2489,4978,318,318,317,74.951064,360.501164,0,14940912,56649640,3317400
6,2714,5428,330,330,330,80.30776,440.808924,217120,15504720,61770640,2770400
7,2852,5704,340,340,338,83.716208,524.525132,228160,15974560,64911520,2556000
8,2837,5674,339,339,338,82.584024,607.109156,226960,15927576,64570120,1813400
9,2809,5618,349,349,349,82.38594,689.495096,224720,16397416,63932840,1783500
10,2728,5456,341,341,341,79.88254,769.377636,218240,16021544,62089280,1507100
11,2658,5316,340,340,340,78.02522,847.402856,212640,15974560,60496080,1295700
12,2645,5290,328,328,328,76.90096,924.303816,211600,15410752,60200200,1033800
13,2570,5140,321,321,321,74.95302,999.256836,205600,15081864,58493200,1128700
14,2448,4896,310,310,310,71.63172,1070.888556,195840,14565040,55716480,1112200
15,2515,5030,326,326,326,74.03092,1144.919476,201200,15316784,57241400,1227200
16,2476,4952,338,338,338,73.5041,1218.423576,198080,15880592,56353760,1025700
17,2669,5338,346,346,346,78.19108,1296.614656,213520,16256464,60746440,927600
18,2887,5774,358,358,358,83.90274,1380.517396,230960,16820272,65708120,1094700
19,2923,5846,348,348,348,84.01248,1464.529876,233840,16350432,66527480,853400
20,2937,5874,349,349,349,84.56126,1549.091136,234960,16397416,66846120,1035300
21,2834,5668,345,345,345,81.74856,1630.839696,226720,16209480,64501840,763600
22,2758,5516,334,334,334,79.3517,1710.191396,220640,15692656,62772080,620900
23,2819,5638,340,340,340,81.29396,1791.485356,225520,15974560,64160440,887200
24,3034,6068,342,342,342,86.2657,1877.751056,242720,16068528,69053840,854100
25,3114,6228,348,348,348,88.26962,1966.020676,249120,16350432,70874640,748100
26,3155,6310,348,348,348,89.21386,2055.234536,252400,16350432,71807800,755900
27,3435,6870,355,355,355,95.9473,2151.181836,274800,16679320,78180600,764300
28,3277,6554,356,356,356,92.5345,2243.716336,262160,16726304,74584520,913100
29,3469,6938,352,352,352,96.6151,2340.331436,277520,16538368,78954440,796900
30,3363,6726,345,345,345,93.88332,2434.214756,269040,16209480,76541880,816000
31,3345,6690,352,352,352,93.89544,2528.110196,267600,16538368,76132200,909400
32,3188,6376,376,376,376,91.42214,2619.532336,255040,17665984,72558880,891100
33,3061,6122,378,378,378,88.5188,2708.051136,244880,17759952,69668360,794200
34,3182,6364,372,372,370,90.755148,2798.806284,254560,17478048,72422320,549900
35,3241,6482,379,379,379,92.56572,2891.372004,259280,17806936,73765160,682800
36,3437,6874,388,388,387,97.560604,2988.932608,274960,18229792,78226120,777100
37,3581,7162,408,408,408,101.9512,3090.883808,286480,19169472,81503560,936200
38,3496,6992,404,404,404,99.42782,3190.311628,279680,18981536,79568960,542700
39,3434,6868,404,404,404,98.10004,3288.411668,274720,18981536,78157840,631000
40,3331,6662,392,392,392,95.07148,3383.483148,266480,18417728,75813560,520400
41,3788,7576,408,408,408,106.85828,3490.341428,303040,19169472,86214880,1115400
42,3805,7610,404,404,404,106.58158,3596.923008,304400,18981536,86601800,638900
43,3852,7704,406,406,403,107.613792,3704.5368,308160,19075504,87671520,503800
44,4061,8122,406,406,406,112.38036,3816.91716,324880,19075504,92428360,496400
45,4226,8452,417,417,417,116.77618,3933.69334,338080,19592328,96183760,605300
46,4392,8784,430,430,430,121.18908,4054.88242,351360,20203120,99961920,614200
47,4462,8924,434,434,434,123.22526,4178.10768,356960,20391056,101555120,863100
48,4511,9022,436,436,436,124.51376,4302.62144,360880,20485024,102670360,938200
49,4231,8462,436,436,436,117.69026,4420.3117,338480,20485024,96297560,509900
50,4357,8714,422,422,422,120.06302,4540.37472,348560,19827248,99165320,664500
51,4481,8962,407,407,407,121.93848,4662.3132,358480,19122488,101987560,414600
52,4400,8800,400,400,400,119.726,4782.0392,352000,18793600,100144000,382000
53,4341,8682,406,406,405,118.616224,4900.655424,347280,19075504,98801160,337200
54,4185,8370,406,406,406,115.11162,5015.767044,334800,19075504,95250600,395500
55,4303,8606,423,423,423,118.84218,5134.609224,344240,19874232,97936280,629900
56,4436,8872,429,429,429,122.02772,5256.636944,354880,20156136,100963360,495000
57,4746,9492,439,439,439,129.85222,5386.489164,379680,20625976,108018960,767900
58,5132,10264,450,450,450,139.20738,5525.696544,410560,21142800,116804320,788500
59,5384,10768,448,448,448,144.66282,5670.359364,430720,21048832,122539840,582500
60,5477,10954,446,446,446,146.6322,5816.991564,438160,20954864,124656520,522000
61,5747,11494,449,449,449,152.88036,5969.871924,459760,21095816,130801720,462000
62,5591,11182,450,450,448,149.209668,6119.081592,447280,21142800,127251160,307500
63,5443,10886,455,455,455,146.16652,6265.248112,435440,21377720,123882680,408800
64,5218,10436,460,460,460,141.44232,6406.690432,417440,21612640,118761680,588000
65,4486,8972,452,452,452,124.24878,6530.939212,358880,21236768,102101360,490300
66,3998,7996,430,430,430,112.23172,6643.170932,319840,20203120,90994480,655800
67,3965,7930,412,412,412,110.52884,6753.699772,317200,19357408,90243400,554800
68,3623,7246,388,388,388,101.45578,6855.155552,289840,18229792,82459480,423900
69,3533,7066,374,374,374,98.65,6953.805552,282640,17572016,80411080,333400
70,3644,7288,377,377,377,101.3852,7055.190752,291520,17712968,82937440,392000
71,3756,7512,370,370,369,103.567204,7158.757956,300480,17384080,85486560,345900
72,3767,7534,374,374,369,104.05268,7262.810636,301360,17572016,85736920,392200
73,3793,7586,372,372,372,104.39606,7367.206696,303440,17478048,86328680,235300
74,3984,7968,378,378,372,109.145504,7476.3522,318720,17759952,90675840,340400
75,4216,8432,392,392,392,115.27508,7591.62728,337280,18417728,95956160,510600
76,4420,8840,396,396,396,120.17252,7711.7998,353600,18605664,100599200,560200
77,4540,9080,396,396,395,122.933784,7834.733584,363200,18605664,103330400,580800
78,4516,9032,400,400,400,122.57864,7957.312224,361280,18793600,102784160,585200
79,4599,9198,404,404,404,124.69924,8082.011464,367920,18981536,104673240,621600
80,4543,9086,400,400,400,123.14332,8205.154784,363440,18793600,103398680,533200
81,3909,7818,392,392,392,108.1466,8313.301384,312720,18417728,88968840,394000
82,3417,6834,384,384,384,96.42416,8409.725544,273360,18041856,77770920,285800
83,3362,6724,370,370,369,94.412244,8504.137788,268960,17384080,76519120,189900
84,3403,6806,363,363,363,95.18348,8599.321268,272240,17055192,77452280,354400
85,3231,6462,364,364,364,91.52962,8690.850888,258480,17102176,73537560,581900
86,3030,6060,362,362,362,86.95054,8777.801428,242400,17008208,68962800,687900
87,2905,5810,332,332,332,82.21944,8860.020868,232400,15598688,66117800,225400
88,2952,5904,330,330,328,83.229508,8943.250376,236160,15504720,67187520,256500
89,2884,5768,316,316,316,80.97188,9024.222256,230720,14846944,65639840,211400
90,2992,5984,318,318,318,83.61854,9107.840796,239360,14940912,68097920,297100
91,2934,5868,317,317,317,82.1763,9190.017096,234720,14893928,66777840,226700
92,2988,5976,322,322,322,83.70916,9273.726256,239040,15128848,68006880,290600
